subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
2GHibkOORxf1BEG7fHceuUNve,1,1dop,The_boy_will_throw_the_bear_the_cheese,left,right,training,06/05/2019,14:19,left,1,5583.661,1,Post,DO,Pred
2GHibkOORxf1BEG7fHceuUNve,2,4dop,George_will_send_the_donkey_the_brush,right,left,training,06/05/2019,14:19,right,1,2671.661,1,Post,DO,Pred
2GHibkOORxf1BEG7fHceuUNve,3,3dop,Rebecca_Rabbit_will_bring_the_chicken_the_pencil,left,right,training,06/05/2019,14:19,left,1,964.661,1,Post,DO,Pred
2GHibkOORxf1BEG7fHceuUNve,4,12dop,Winnie_the_pooh_will_show_the_duck_the_frisbee,right,left,training,06/05/2019,14:19,right,1,2150.661,1,Post,DO,Pred
2GHibkOORxf1BEG7fHceuUNve,5,11dop,Marshall_will_pass_the_bee_the_gloves,left,right,training,06/05/2019,14:19,left,1,1438.661,1,Post,DO,Pred
2GHibkOORxf1BEG7fHceuUNve,6,8dop,Chase_will_give_the_kitten_the_bisuit,right,left,training,06/05/2019,14:19,right,1,2992.661,1,Post,DO,Pred
2GHibkOORxf1BEG7fHceuUNve,7,10dop,Boots_will_send_the_caterpillar_the_flower,left,right,training,06/05/2019,14:19,left,1,1359.661,1,Post,DO,Pred
2GHibkOORxf1BEG7fHceuUNve,8,5dop,The_girl_will_pass_the_sheep_the_dress,left,right,training,06/05/2019,14:19,left,1,2566.661,1,Post,DO,Pred
2GHibkOORxf1BEG7fHceuUNve,9,2dop,Tigger_will_give_the_zebra_the_bottle,left,right,training,06/05/2019,14:19,left,1,838.661,1,Post,DO,Pred
2GHibkOORxf1BEG7fHceuUNve,10,6dop,Piglet_will_show_the_fish_the_plate,right,left,training,06/05/2019,14:19,right,1,11575.661,1,Post,DO,Pred
2GHibkOORxf1BEG7fHceuUNve,11,7dop,Bob_the_builder_will_throw_the_penguin_the_shoe,right,left,training,06/05/2019,14:19,right,1,1334.661,2,Post,DO,Pred
2GHibkOORxf1BEG7fHceuUNve,12,9dop,Dora_the_explorer_will_bring_the_hippo_the_spoon,right,left,training,06/05/2019,14:19,right,1,1936.661,1,Post,DO,Pred
