subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
BdGSOufSBwUolVRT3rOkCuppF,1,9doup,Dora_the_explorer_will_bring_the_hippo_the_cow,right,left,training,8/28/2022,13:10,right,1,4693.748,1,Pre,DO,NonPred
BdGSOufSBwUolVRT3rOkCuppF,2,6doup,Piglet_will_show_the_fish_the_ant,right,left,training,8/28/2022,13:10,right,1,3829.7479999999996,1,Pre,DO,NonPred
BdGSOufSBwUolVRT3rOkCuppF,3,4doup,George_will_send_the_donkey_the_fox,left,right,training,8/28/2022,13:10,left,1,4379.748,1,Pre,DO,NonPred
BdGSOufSBwUolVRT3rOkCuppF,4,5doup,The_girl_will_pass_the_sheep_the_bird,left,right,training,8/28/2022,13:10,left,1,6109.748,1,Pre,DO,NonPred
BdGSOufSBwUolVRT3rOkCuppF,5,8doup,Chase_will_give_the_kitten_the_deer,right,left,training,8/28/2022,13:10,right,1,6955.748,1,Pre,DO,NonPred
BdGSOufSBwUolVRT3rOkCuppF,6,3doup,Rebecca_Rabbit_will_bring_the_chicken_the_frog,right,left,training,8/28/2022,13:10,right,1,16125.748,1,Pre,DO,NonPred
BdGSOufSBwUolVRT3rOkCuppF,7,10doup,Boots_will_send_the_caterpillar_the_pig,right,left,training,8/28/2022,13:10,right,1,2427.7479999999996,1,Pre,DO,NonPred
BdGSOufSBwUolVRT3rOkCuppF,8,11doup,Marshall_will_pass_the_bee_the_goat,right,left,training,8/28/2022,13:10,right,1,4221.748,1,Pre,DO,NonPred
BdGSOufSBwUolVRT3rOkCuppF,9,2doup,Tigger_will_give_the_zebra_the_butterfly,left,right,training,8/28/2022,13:10,left,1,3915.7479999999996,1,Pre,DO,NonPred
BdGSOufSBwUolVRT3rOkCuppF,10,12doup,Winnie_the_pooh_will_show_the_duck_the_owl,left,right,training,8/28/2022,13:10,left,1,6601.748,1,Pre,DO,NonPred
BdGSOufSBwUolVRT3rOkCuppF,11,1doup,The_boy_will_throw_the_bear_the_dinosaur,left,right,training,8/28/2022,13:10,left,1,3950.7479999999996,1,Pre,DO,NonPred
BdGSOufSBwUolVRT3rOkCuppF,12,7doup,Bob_the_builder_will_throw_the_penguin_the_dog,left,right,training,8/28/2022,13:10,left,1,7117.748,1,Pre,DO,NonPred
