subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
C7NdE4AywSmrlfVdT853HysYt,1,2poup,Tigger_will_give_the_butterfly_to_the_zebra,right,left,training,2/4/2022,15:36,right,1,6955.4400000000005,1,Post,PO,NonPred
C7NdE4AywSmrlfVdT853HysYt,2,10poup,Boots_will_send_the_pig_to_the_caterpillar,left,right,training,2/4/2022,15:36,left,1,6317.4400000000005,1,Post,PO,NonPred
C7NdE4AywSmrlfVdT853HysYt,3,11poup,Marshall_will_pass_the_goat_to_the_bee,left,right,training,2/4/2022,15:36,left,1,5506.4400000000005,1,Post,PO,NonPred
C7NdE4AywSmrlfVdT853HysYt,4,4poup,George_will_send_the_fox_to_the_donkey,left,right,training,2/4/2022,15:36,left,1,5418.4400000000005,1,Post,PO,NonPred
C7NdE4AywSmrlfVdT853HysYt,5,5poup,The_girl_will_pass_the_bird_to_the_sheep,right,left,training,2/4/2022,15:36,right,1,6981.4400000000005,1,Post,PO,NonPred
C7NdE4AywSmrlfVdT853HysYt,6,7poup,Bob_the_builder_will_throw_the_dog_to_the_penguin,left,right,training,2/4/2022,15:36,left,1,7641.4400000000005,1,Post,PO,NonPred
C7NdE4AywSmrlfVdT853HysYt,7,12poup,Winnie_the_pooh_will_show_the_owl_to_the_duck,right,left,training,2/4/2022,15:36,right,1,6215.4400000000005,1,Post,PO,NonPred
C7NdE4AywSmrlfVdT853HysYt,8,6poup,Piglet_will_show_the_ant_to_the_fish,left,right,training,2/4/2022,15:36,left,1,5685.4400000000005,1,Post,PO,NonPred
C7NdE4AywSmrlfVdT853HysYt,9,3poup,Rebecca_Rabbit_will_bring_the_frog_to_the_chicken,right,left,training,2/4/2022,15:36,right,1,4425.4400000000005,1,Post,PO,NonPred
C7NdE4AywSmrlfVdT853HysYt,10,9poup,Dora_the_explorer_will_bring_the_cow_to_the_hippo,right,left,training,2/4/2022,15:36,right,1,7059.4400000000005,1,Post,PO,NonPred
C7NdE4AywSmrlfVdT853HysYt,11,1poup,The_boy_will_throw_the_dinosaur_to_the_bear,right,left,training,2/4/2022,15:36,right,1,6510.4400000000005,1,Post,PO,NonPred
C7NdE4AywSmrlfVdT853HysYt,12,8poup,Chase_will_give_the_deer_to_the_kitten,left,right,training,2/4/2022,15:36,left,1,6166.4400000000005,1,Post,PO,NonPred
