subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
FwqPAwsJHhtqk1alRgW3QGzE2,1,2poup,Tigger_will_give_the_butterfly_to_the_zebra,left,right,training,7/24/2019,11:05,left,1,6603.4400000000005,1,Post,PO,NonPred
FwqPAwsJHhtqk1alRgW3QGzE2,2,11poup,Marshall_will_pass_the_goat_to_the_bee,right,left,training,7/24/2019,11:05,right,1,4444.4400000000005,1,Post,PO,NonPred
FwqPAwsJHhtqk1alRgW3QGzE2,3,9poup,Dora_the_explorer_will_bring_the_cow_to_the_hippo,left,right,training,7/24/2019,11:05,left,1,3919.4400000000005,1,Post,PO,NonPred
FwqPAwsJHhtqk1alRgW3QGzE2,4,1poup,The_boy_will_throw_the_dinosaur_to_the_bear,right,left,training,7/24/2019,11:05,right,1,3852.4400000000005,1,Post,PO,NonPred
FwqPAwsJHhtqk1alRgW3QGzE2,5,3poup,Rebecca_Rabbit_will_bring_the_frog_to_the_chicken,right,left,training,7/24/2019,11:05,right,1,3275.4400000000005,1,Post,PO,NonPred
FwqPAwsJHhtqk1alRgW3QGzE2,6,8poup,Chase_will_give_the_deer_to_the_kitten,left,right,training,7/24/2019,11:05,left,1,5005.4400000000005,1,Post,PO,NonPred
FwqPAwsJHhtqk1alRgW3QGzE2,7,4poup,George_will_send_the_fox_to_the_donkey,left,right,training,7/24/2019,11:05,left,1,2070.4400000000005,1,Post,PO,NonPred
FwqPAwsJHhtqk1alRgW3QGzE2,8,5poup,The_girl_will_pass_the_bird_to_the_sheep,right,left,training,7/24/2019,11:05,right,1,2763.4400000000005,1,Post,PO,NonPred
FwqPAwsJHhtqk1alRgW3QGzE2,9,7poup,Bob_the_builder_will_throw_the_dog_to_the_penguin,right,left,training,7/24/2019,11:05,right,1,3781.4400000000005,1,Post,PO,NonPred
FwqPAwsJHhtqk1alRgW3QGzE2,10,10poup,Boots_will_send_the_pig_to_the_caterpillar,left,right,training,7/24/2019,11:05,left,1,2799.4400000000005,1,Post,PO,NonPred
FwqPAwsJHhtqk1alRgW3QGzE2,11,12poup,Winnie_the_pooh_will_show_the_owl_to_the_duck,right,left,training,7/24/2019,11:05,right,1,3500.4400000000005,1,Post,PO,NonPred
FwqPAwsJHhtqk1alRgW3QGzE2,12,6poup,Piglet_will_show_the_ant_to_the_fish,left,right,training,7/24/2019,11:05,left,1,4697.4400000000005,1,Post,PO,NonPred
