subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
GQLgHmxXdeTrRxApGRccaywgx,1,8poup,Chase_will_give_the_deer_to_the_kitten,left,right,training,6/25/2019,9:21,left,1,3750.402,1,Pre,PO,NonPred
GQLgHmxXdeTrRxApGRccaywgx,2,1poup,The_boy_will_throw_the_dinosaur_to_the_bear,left,right,training,6/25/2019,9:21,right,0,3322.402,1,Pre,PO,NonPred
GQLgHmxXdeTrRxApGRccaywgx,3,7poup,Bob_the_builder_will_throw_the_dog_to_the_penguin,left,right,training,6/25/2019,9:21,left,1,3157.402,1,Pre,PO,NonPred
GQLgHmxXdeTrRxApGRccaywgx,4,3poup,Rebecca_Rabbit_will_bring_the_frog_to_the_chicken,right,left,training,6/25/2019,9:21,right,1,2245.402,1,Pre,PO,NonPred
GQLgHmxXdeTrRxApGRccaywgx,5,5poup,The_girl_will_pass_the_bird_to_the_sheep,right,left,training,6/25/2019,9:21,right,1,3298.402,4,Pre,PO,NonPred
GQLgHmxXdeTrRxApGRccaywgx,6,9poup,Dora_the_explorer_will_bring_the_cow_to_the_hippo,left,right,training,6/25/2019,9:21,left,1,2319.402,1,Pre,PO,NonPred
GQLgHmxXdeTrRxApGRccaywgx,7,6poup,Piglet_will_show_the_ant_to_the_fish,right,left,training,6/25/2019,9:21,left,0,1997.402,5,Pre,PO,NonPred
GQLgHmxXdeTrRxApGRccaywgx,8,4poup,George_will_send_the_fox_to_the_donkey,right,left,training,6/25/2019,9:21,right,1,4617.402,1,Pre,PO,NonPred
GQLgHmxXdeTrRxApGRccaywgx,9,12poup,Winnie_the_pooh_will_show_the_owl_to_the_duck,left,right,training,6/25/2019,9:21,left,1,5700.402,1,Pre,PO,NonPred
GQLgHmxXdeTrRxApGRccaywgx,10,2poup,Tigger_will_give_the_butterfly_to_the_zebra,right,left,training,6/25/2019,9:21,right,1,2587.402,1,Pre,PO,NonPred
GQLgHmxXdeTrRxApGRccaywgx,11,10poup,Boots_will_send_the_pig_to_the_caterpillar,right,left,training,6/25/2019,9:21,right,1,1395.402,1,Pre,PO,NonPred
GQLgHmxXdeTrRxApGRccaywgx,12,11poup,Marshall_will_pass_the_goat_to_the_bee,left,right,training,6/25/2019,9:21,left,1,1579.402,1,Pre,PO,NonPred
