subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
LiHE860tnPFQN3TkrsjdCyR5a,1,10doup,Boots_will_send_the_caterpillar_the_pig,left,right,training,11/6/2019,09:59,left,1,7400.187,1,Post,DO,NonPred
LiHE860tnPFQN3TkrsjdCyR5a,2,1doup,The_boy_will_throw_the_bear_the_dinosaur,right,left,training,11/6/2019,09:59,right,1,7718.187,1,Post,DO,NonPred
LiHE860tnPFQN3TkrsjdCyR5a,3,12doup,Winnie_the_pooh_will_show_the_duck_the_owl,left,right,training,11/6/2019,09:59,left,1,10836.187,1,Post,DO,NonPred
LiHE860tnPFQN3TkrsjdCyR5a,4,9doup,Dora_the_explorer_will_bring_the_hippo_the_cow,right,left,training,11/6/2019,09:59,right,1,11079.187,1,Post,DO,NonPred
LiHE860tnPFQN3TkrsjdCyR5a,5,11doup,Marshall_will_pass_the_bee_the_goat,right,left,training,11/6/2019,09:59,right,1,6761.187,1,Post,DO,NonPred
LiHE860tnPFQN3TkrsjdCyR5a,6,4doup,George_will_send_the_donkey_the_fox,left,right,training,11/6/2019,09:59,left,1,7364.187,1,Post,DO,NonPred
LiHE860tnPFQN3TkrsjdCyR5a,7,3doup,Rebecca_Rabbit_will_bring_the_chicken_the_frog,right,left,training,11/6/2019,09:59,right,1,7064.187,1,Post,DO,NonPred
LiHE860tnPFQN3TkrsjdCyR5a,8,6doup,Piglet_will_show_the_fish_the_ant,left,right,training,11/6/2019,09:59,left,1,5349.187,1,Post,DO,NonPred
LiHE860tnPFQN3TkrsjdCyR5a,9,7doup,Bob_the_builder_will_throw_the_penguin_the_dog,right,left,training,11/6/2019,09:59,right,1,7091.187,1,Post,DO,NonPred
LiHE860tnPFQN3TkrsjdCyR5a,10,5doup,The_girl_will_pass_the_sheep_the_bird,right,left,training,11/6/2019,09:59,right,1,6528.187,1,Post,DO,NonPred
LiHE860tnPFQN3TkrsjdCyR5a,11,8doup,Chase_will_give_the_kitten_the_deer,left,right,training,11/6/2019,09:59,left,1,7770.187,1,Post,DO,NonPred
LiHE860tnPFQN3TkrsjdCyR5a,12,2doup,Tigger_will_give_the_zebra_the_butterfly,left,right,training,11/6/2019,09:59,left,1,9970.187,1,Post,DO,NonPred
