subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
N6YbafrdqX3jsdevpEjex6QE9,1,9doup,Dora_the_explorer_will_bring_the_hippo_the_cow,right,left,training,11/19/2019,17:00,right,1,10814.748,1,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,2,7doup,Bob_the_builder_will_throw_the_penguin_the_dog,left,right,training,11/19/2019,17:00,left,1,9123.748,1,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,3,4doup,George_will_send_the_donkey_the_fox,left,right,training,11/19/2019,17:00,left,1,7489.748,1,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,4,11doup,Marshall_will_pass_the_bee_the_goat,left,right,training,11/19/2019,17:00,left,1,4322.748,1,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,5,5doup,The_girl_will_pass_the_sheep_the_bird,right,left,training,11/19/2019,17:00,right,1,6642.748,1,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,6,6doup,Piglet_will_show_the_fish_the_ant,right,left,training,11/19/2019,17:00,right,1,7194.748,1,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,7,2doup,Tigger_will_give_the_zebra_the_butterfly,right,left,training,11/19/2019,17:00,right,1,6178.748,1,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,8,10doup,Boots_will_send_the_caterpillar_the_pig,left,right,training,11/19/2019,17:00,left,1,5771.748,1,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,9,8doup,Chase_will_give_the_kitten_the_deer,left,right,training,11/19/2019,17:00,left,1,6170.748,1,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,10,12doup,Winnie_the_pooh_will_show_the_duck_the_owl,left,right,training,11/19/2019,17:00,left,1,7569.748,1,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,11,3doup,Rebecca_Rabbit_will_bring_the_chicken_the_frog,right,left,training,11/19/2019,17:00,right,1,8027.748,1,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,12,1doup,The_boy_will_throw_the_bear_the_dinosaur,right,left,training,11/19/2019,17:00,right,1,6879.748,1,Post,DO,NonPred
