subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
PXmhfkPC4GCdGnXAN8W9MeoYN,1,12poup,Winnie_the_pooh_will_show_the_owl_to_the_duck,left,right,training,7/2/2022,15:15,left,1,9060.995,1,Pre,PO,NonPred
PXmhfkPC4GCdGnXAN8W9MeoYN,2,3poup,Rebecca_Rabbit_will_bring_the_frog_to_the_chicken,right,left,training,7/2/2022,15:15,right,1,3978.995000000001,1,Pre,PO,NonPred
PXmhfkPC4GCdGnXAN8W9MeoYN,3,11poup,Marshall_will_pass_the_goat_to_the_bee,right,left,training,7/2/2022,15:15,right,1,4124.995000000001,2,Pre,PO,NonPred
PXmhfkPC4GCdGnXAN8W9MeoYN,4,9poup,Dora_the_explorer_will_bring_the_cow_to_the_hippo,left,right,training,7/2/2022,15:15,left,1,3749.995000000001,1,Pre,PO,NonPred
PXmhfkPC4GCdGnXAN8W9MeoYN,5,1poup,The_boy_will_throw_the_dinosaur_to_the_bear,right,left,training,7/2/2022,15:15,right,1,2976.995000000001,1,Pre,PO,NonPred
PXmhfkPC4GCdGnXAN8W9MeoYN,6,6poup,Piglet_will_show_the_ant_to_the_fish,left,right,training,7/2/2022,15:15,left,1,2379.995000000001,1,Pre,PO,NonPred
PXmhfkPC4GCdGnXAN8W9MeoYN,7,10poup,Boots_will_send_the_pig_to_the_caterpillar,left,right,training,7/2/2022,15:15,left,1,4203.995000000001,1,Pre,PO,NonPred
PXmhfkPC4GCdGnXAN8W9MeoYN,8,4poup,George_will_send_the_fox_to_the_donkey,left,right,training,7/2/2022,15:15,left,1,3326.995000000001,1,Pre,PO,NonPred
PXmhfkPC4GCdGnXAN8W9MeoYN,9,7poup,Bob_the_builder_will_throw_the_dog_to_the_penguin,left,right,training,7/2/2022,15:15,left,1,3756.995000000001,1,Pre,PO,NonPred
PXmhfkPC4GCdGnXAN8W9MeoYN,10,5poup,The_girl_will_pass_the_bird_to_the_sheep,right,left,training,7/2/2022,15:15,right,1,4489.995000000001,1,Pre,PO,NonPred
PXmhfkPC4GCdGnXAN8W9MeoYN,11,8poup,Chase_will_give_the_deer_to_the_kitten,right,left,training,7/2/2022,15:15,right,1,4797.995000000001,1,Pre,PO,NonPred
PXmhfkPC4GCdGnXAN8W9MeoYN,12,2poup,Tigger_will_give_the_butterfly_to_the_zebra,right,left,training,7/2/2022,15:15,right,1,2805.995000000001,1,Pre,PO,NonPred
