subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
UBWyftsP5XUMzBBLaRpSXUxWQ,1,8dop,Chase_will_give_the_kitten_the_bisuit,left,right,training,06/05/2019,13:59,left,1,12188.298,1,Pre,DO,Pred
UBWyftsP5XUMzBBLaRpSXUxWQ,2,9dop,Dora_the_explorer_will_bring_the_hippo_the_spoon,left,right,training,06/05/2019,13:59,left,1,5519.298,1,Pre,DO,Pred
UBWyftsP5XUMzBBLaRpSXUxWQ,3,1dop,The_boy_will_throw_the_bear_the_cheese,left,right,training,06/05/2019,13:59,left,1,3988.298,1,Pre,DO,Pred
UBWyftsP5XUMzBBLaRpSXUxWQ,4,12dop,Winnie_the_pooh_will_show_the_duck_the_frisbee,right,left,training,06/05/2019,13:59,right,1,1369.298,1,Pre,DO,Pred
UBWyftsP5XUMzBBLaRpSXUxWQ,5,11dop,Marshall_will_pass_the_bee_the_gloves,right,left,training,06/05/2019,13:59,right,1,2192.298,1,Pre,DO,Pred
UBWyftsP5XUMzBBLaRpSXUxWQ,6,6dop,Piglet_will_show_the_fish_the_plate,left,right,training,06/05/2019,13:59,left,1,2563.298,1,Pre,DO,Pred
UBWyftsP5XUMzBBLaRpSXUxWQ,7,10dop,Boots_will_send_the_caterpillar_the_flower,right,left,training,06/05/2019,13:59,right,1,1866.298,1,Pre,DO,Pred
UBWyftsP5XUMzBBLaRpSXUxWQ,8,2dop,Tigger_will_give_the_zebra_the_bottle,right,left,training,06/05/2019,13:59,right,1,2292.298,1,Pre,DO,Pred
UBWyftsP5XUMzBBLaRpSXUxWQ,9,7dop,Bob_the_builder_will_throw_the_penguin_the_shoe,left,right,training,06/05/2019,13:59,left,1,2016.298,1,Pre,DO,Pred
UBWyftsP5XUMzBBLaRpSXUxWQ,10,4dop,George_will_send_the_donkey_the_brush,right,left,training,06/05/2019,13:59,right,1,5459.298,1,Pre,DO,Pred
UBWyftsP5XUMzBBLaRpSXUxWQ,11,3dop,Rebecca_Rabbit_will_bring_the_chicken_the_pencil,left,right,training,06/05/2019,13:59,left,1,1440.298,1,Pre,DO,Pred
UBWyftsP5XUMzBBLaRpSXUxWQ,12,5dop,The_girl_will_pass_the_sheep_the_dress,right,left,training,06/05/2019,13:59,left,0,1891.298,1,Pre,DO,Pred
