subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
UoPIxMEEFW9qJYFRHELobzLOg,1,6dop,Piglet_will_show_the_fish_the_plate,right,left,training,6/17/2019,10:22,right,1,9523.339,1,Pre,DO,Pred
UoPIxMEEFW9qJYFRHELobzLOg,2,8dop,Chase_will_give_the_kitten_the_bisuit,right,left,training,6/17/2019,10:22,right,1,5030.339,1,Pre,DO,Pred
UoPIxMEEFW9qJYFRHELobzLOg,3,10dop,Boots_will_send_the_caterpillar_the_flower,left,right,training,6/17/2019,10:22,left,1,5547.339,1,Pre,DO,Pred
UoPIxMEEFW9qJYFRHELobzLOg,4,2dop,Tigger_will_give_the_zebra_the_bottle,right,left,training,6/17/2019,10:22,left,0,6989.339,1,Pre,DO,Pred
UoPIxMEEFW9qJYFRHELobzLOg,5,1dop,The_boy_will_throw_the_bear_the_cheese,left,right,training,6/17/2019,10:22,left,1,5871.339,1,Pre,DO,Pred
UoPIxMEEFW9qJYFRHELobzLOg,6,12dop,Winnie_the_pooh_will_show_the_duck_the_frisbee,left,right,training,6/17/2019,10:22,left,1,4709.339,1,Pre,DO,Pred
UoPIxMEEFW9qJYFRHELobzLOg,7,7dop,Bob_the_builder_will_throw_the_penguin_the_shoe,right,left,training,6/17/2019,10:22,right,1,3977.339,1,Pre,DO,Pred
UoPIxMEEFW9qJYFRHELobzLOg,8,11dop,Marshall_will_pass_the_bee_the_gloves,left,right,training,6/17/2019,10:22,left,1,1925.339,1,Pre,DO,Pred
UoPIxMEEFW9qJYFRHELobzLOg,9,5dop,The_girl_will_pass_the_sheep_the_dress,right,left,training,6/17/2019,10:22,right,1,3361.339,1,Pre,DO,Pred
UoPIxMEEFW9qJYFRHELobzLOg,10,3dop,Rebecca_Rabbit_will_bring_the_chicken_the_pencil,left,right,training,6/17/2019,10:22,left,1,3439.339,1,Pre,DO,Pred
UoPIxMEEFW9qJYFRHELobzLOg,11,4dop,George_will_send_the_donkey_the_brush,left,right,training,6/17/2019,10:22,left,1,3940.339,1,Pre,DO,Pred
UoPIxMEEFW9qJYFRHELobzLOg,12,9dop,Dora_the_explorer_will_bring_the_hippo_the_spoon,right,left,training,6/17/2019,10:22,left,0,4066.339,1,Pre,DO,Pred
