subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
WF5BRmB3O3CAqfanjW0CkieI6,1,1pop,The_boy_will_throw_the_cheese_to_the_bear,left,right,training,1/26/2022,16:25,left,1,3063.7289999999994,1,Post,PO,Pred
WF5BRmB3O3CAqfanjW0CkieI6,2,10pop,Boots_will_send_the_flower_to_the_caterpillar,right,left,training,1/26/2022,16:25,right,1,3402.7289999999994,1,Post,PO,Pred
WF5BRmB3O3CAqfanjW0CkieI6,3,2pop,Tigger_will_give_the_bottle_to_the_zebra,right,left,training,1/26/2022,16:25,right,1,4444.728999999999,1,Post,PO,Pred
WF5BRmB3O3CAqfanjW0CkieI6,4,12pop,Winnie_the_pooh_will_show_the_frisbee_to_the_duck,right,left,training,1/26/2022,16:25,right,1,5272.728999999999,1,Post,PO,Pred
WF5BRmB3O3CAqfanjW0CkieI6,5,5pop,The_girl_will_pass_the_dress_to_the_sheep,left,right,training,1/26/2022,16:25,left,1,2996.7289999999994,1,Post,PO,Pred
WF5BRmB3O3CAqfanjW0CkieI6,6,11pop,Marshall_will_pass_the_gloves_to_the_bee,left,right,training,1/26/2022,16:25,left,1,2342.7289999999994,1,Post,PO,Pred
WF5BRmB3O3CAqfanjW0CkieI6,7,7pop,Bob_the_builder_will_throw_the_shoe_to_the_penguin,left,right,training,1/26/2022,16:25,left,1,3001.7289999999994,1,Post,PO,Pred
WF5BRmB3O3CAqfanjW0CkieI6,8,6pop,Piglet_will_show_the_plate_to_the_fish,right,left,training,1/26/2022,16:25,right,1,2559.7289999999994,1,Post,PO,Pred
WF5BRmB3O3CAqfanjW0CkieI6,9,8pop,Chase_will_give_the_biscuit_to_the_kitten,right,left,training,1/26/2022,16:25,right,1,7647.728999999999,1,Post,PO,Pred
WF5BRmB3O3CAqfanjW0CkieI6,10,9pop,Dora_the_explorer_will_bring_the_spoon_to_the_hippo,right,left,training,1/26/2022,16:25,right,1,5826.728999999999,1,Post,PO,Pred
WF5BRmB3O3CAqfanjW0CkieI6,11,4pop,George_will_send_the_brush_to_the_donkey,left,right,training,1/26/2022,16:25,left,1,2058.7289999999994,1,Post,PO,Pred
WF5BRmB3O3CAqfanjW0CkieI6,12,3pop,Rebecca_Rabbit_will_bring_the_pencil_to_the_chicken,left,right,training,1/26/2022,16:25,left,1,3387.7289999999994,1,Post,PO,Pred
