subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
XU3Fh7Y1UJftHoOGAb5ePNmK4,1,11dop,Marshall_will_pass_the_bee_the_gloves,right,left,training,8/15/2022,12:13,right,1,2512.0370000000003,1,Post,DO,Pred
XU3Fh7Y1UJftHoOGAb5ePNmK4,2,12dop,Winnie_the_pooh_will_show_the_duck_the_frisbee,left,right,training,8/15/2022,12:13,left,1,6526.037,1,Post,DO,Pred
XU3Fh7Y1UJftHoOGAb5ePNmK4,3,9dop,Dora_the_explorer_will_bring_the_hippo_the_spoon,right,left,training,8/15/2022,12:13,right,1,13561.037,1,Post,DO,Pred
XU3Fh7Y1UJftHoOGAb5ePNmK4,4,5dop,The_girl_will_pass_the_sheep_the_dress,right,left,training,8/15/2022,12:13,right,1,8727.037,1,Post,DO,Pred
XU3Fh7Y1UJftHoOGAb5ePNmK4,5,4dop,George_will_send_the_donkey_the_brush,left,right,training,8/15/2022,12:13,left,1,5102.037,1,Post,DO,Pred
XU3Fh7Y1UJftHoOGAb5ePNmK4,6,6dop,Piglet_will_show_the_fish_the_plate,right,left,training,8/15/2022,12:13,left,0,13611.037,1,Post,DO,Pred
XU3Fh7Y1UJftHoOGAb5ePNmK4,7,2dop,Tigger_will_give_the_zebra_the_bottle,right,left,training,8/15/2022,12:13,right,1,4980.037,1,Post,DO,Pred
XU3Fh7Y1UJftHoOGAb5ePNmK4,8,8dop,Chase_will_give_the_kitten_the_bisuit,left,right,training,8/15/2022,12:13,left,1,10884.037,1,Post,DO,Pred
XU3Fh7Y1UJftHoOGAb5ePNmK4,9,1dop,The_boy_will_throw_the_bear_the_cheese,left,right,training,8/15/2022,12:13,left,1,5876.037,1,Post,DO,Pred
XU3Fh7Y1UJftHoOGAb5ePNmK4,10,10dop,Boots_will_send_the_caterpillar_the_flower,left,right,training,8/15/2022,12:13,left,1,4945.037,1,Post,DO,Pred
XU3Fh7Y1UJftHoOGAb5ePNmK4,11,3dop,Rebecca_Rabbit_will_bring_the_chicken_the_pencil,right,left,training,8/15/2022,12:13,right,1,5658.037,1,Post,DO,Pred
XU3Fh7Y1UJftHoOGAb5ePNmK4,12,7dop,Bob_the_builder_will_throw_the_penguin_the_shoe,left,right,training,8/15/2022,12:13,left,1,6295.037,1,Post,DO,Pred
