subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
Xh6nW5OqMkCFRlvq4PsTwl4Vx,1,9poup,Dora_the_explorer_will_bring_the_cow_to_the_hippo,right,left,training,7/18/2019,14:23,right,1,2487.756000000001,1,Pre,PO,NonPred
Xh6nW5OqMkCFRlvq4PsTwl4Vx,2,10poup,Boots_will_send_the_pig_to_the_caterpillar,left,right,training,7/18/2019,14:23,left,1,791.7560000000012,1,Pre,PO,NonPred
Xh6nW5OqMkCFRlvq4PsTwl4Vx,3,11poup,Marshall_will_pass_the_goat_to_the_bee,left,right,training,7/18/2019,14:23,right,0,1259.7560000000012,1,Pre,PO,NonPred
Xh6nW5OqMkCFRlvq4PsTwl4Vx,4,12poup,Winnie_the_pooh_will_show_the_owl_to_the_duck,right,left,training,7/18/2019,14:23,right,1,1297.7560000000012,1,Pre,PO,NonPred
Xh6nW5OqMkCFRlvq4PsTwl4Vx,5,6poup,Piglet_will_show_the_ant_to_the_fish,left,right,training,7/18/2019,14:23,left,1,8478.756000000001,1,Pre,PO,NonPred
Xh6nW5OqMkCFRlvq4PsTwl4Vx,6,4poup,George_will_send_the_fox_to_the_donkey,left,right,training,7/18/2019,14:23,left,1,802.7560000000012,1,Pre,PO,NonPred
Xh6nW5OqMkCFRlvq4PsTwl4Vx,7,1poup,The_boy_will_throw_the_dinosaur_to_the_bear,right,left,training,7/18/2019,14:23,right,1,1480.7560000000012,1,Pre,PO,NonPred
Xh6nW5OqMkCFRlvq4PsTwl4Vx,8,5poup,The_girl_will_pass_the_bird_to_the_sheep,right,left,training,7/18/2019,14:23,right,1,2270.756000000001,1,Pre,PO,NonPred
Xh6nW5OqMkCFRlvq4PsTwl4Vx,9,2poup,Tigger_will_give_the_butterfly_to_the_zebra,left,right,training,7/18/2019,14:23,left,1,956.7560000000012,1,Pre,PO,NonPred
Xh6nW5OqMkCFRlvq4PsTwl4Vx,10,8poup,Chase_will_give_the_deer_to_the_kitten,left,right,training,7/18/2019,14:23,left,1,1862.7560000000012,1,Pre,PO,NonPred
Xh6nW5OqMkCFRlvq4PsTwl4Vx,11,7poup,Bob_the_builder_will_throw_the_dog_to_the_penguin,right,left,training,7/18/2019,14:23,right,1,2030.7560000000012,1,Pre,PO,NonPred
Xh6nW5OqMkCFRlvq4PsTwl4Vx,12,3poup,Rebecca_Rabbit_will_bring_the_frog_to_the_chicken,right,left,training,7/18/2019,14:23,right,1,7184.756000000001,1,Pre,PO,NonPred
