subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
cLQYf22jOn4YeuPZXT1eHM053,1,11doup,Marshall_will_pass_the_bee_the_goat,left,right,training,06/05/2019,14:35,left,1,10330.184,1,Pre,DO,NonPred
cLQYf22jOn4YeuPZXT1eHM053,2,8doup,Chase_will_give_the_kitten_the_deer,left,right,training,06/05/2019,14:35,left,1,6341.184,1,Pre,DO,NonPred
cLQYf22jOn4YeuPZXT1eHM053,3,10doup,Boots_will_send_the_caterpillar_to_the_pig,right,left,training,06/05/2019,14:35,right,1,5460.184,1,Pre,DO,NonPred
cLQYf22jOn4YeuPZXT1eHM053,4,5doup,The_girl_will_pass_the_sheep_the_bird,left,right,training,06/05/2019,14:35,left,1,7953.184,1,Pre,DO,NonPred
cLQYf22jOn4YeuPZXT1eHM053,5,1doup,The_boy_will_throw_the_bear_the_dinosaur,right,left,training,06/05/2019,14:35,right,1,5794.184,1,Pre,DO,NonPred
cLQYf22jOn4YeuPZXT1eHM053,6,6doup,Piglet_will_show_the_fish_the_ant,right,left,training,06/05/2019,14:35,right,1,9764.184,1,Pre,DO,NonPred
cLQYf22jOn4YeuPZXT1eHM053,7,3doup,Rebecca_Rabbit_will_bring_the_chicken_the_frog,left,right,training,06/05/2019,14:35,left,1,4777.184,1,Pre,DO,NonPred
cLQYf22jOn4YeuPZXT1eHM053,8,9doup,Dora_the_explorer_will_bring_the_hippo_the_cow,right,left,training,06/05/2019,14:35,right,1,6661.184,1,Pre,DO,NonPred
cLQYf22jOn4YeuPZXT1eHM053,9,2doup,Tigger_will_give_the_zebra_the_butterfly,left,right,training,06/05/2019,14:35,left,1,4810.184,1,Pre,DO,NonPred
cLQYf22jOn4YeuPZXT1eHM053,10,12doup,Winnie_the_pooh_will_show_the_duck_the_owl,right,left,training,06/05/2019,14:35,right,1,6709.184,2,Pre,DO,NonPred
cLQYf22jOn4YeuPZXT1eHM053,11,4doup,George_will_send_the_donkey_the_fox,right,left,training,06/05/2019,14:35,right,1,4013.184,1,Pre,DO,NonPred
cLQYf22jOn4YeuPZXT1eHM053,12,7doup,Bob_the_builder_will_throw_the_penguin_the_dog,left,right,training,06/05/2019,14:35,left,1,6215.184,1,Pre,DO,NonPred
