subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
d1ktpSfErH4wddABU1quVIeib,1,11poup,Marshall_will_pass_the_goat_to_the_bee,left,right,training,11/30/2021,16:13,left,1,17190.906,1,Pre,PO,NonPred
d1ktpSfErH4wddABU1quVIeib,2,4poup,George_will_send_the_fox_to_the_donkey,right,left,training,11/30/2021,16:13,right,1,8052.905999999999,1,Pre,PO,NonPred
d1ktpSfErH4wddABU1quVIeib,3,10poup,Boots_will_send_the_pig_to_the_caterpillar,left,right,training,11/30/2021,16:13,left,1,8537.905999999999,1,Pre,PO,NonPred
d1ktpSfErH4wddABU1quVIeib,4,2poup,Tigger_will_give_the_butterfly_to_the_zebra,left,right,training,11/30/2021,16:13,left,1,9368.905999999999,1,Pre,PO,NonPred
d1ktpSfErH4wddABU1quVIeib,5,9poup,Dora_the_explorer_will_bring_the_cow_to_the_hippo,left,right,training,11/30/2021,16:13,left,1,6600.905999999999,1,Pre,PO,NonPred
d1ktpSfErH4wddABU1quVIeib,6,6poup,Piglet_will_show_the_ant_to_the_fish,left,right,training,11/30/2021,16:13,left,1,3310.905999999999,1,Pre,PO,NonPred
d1ktpSfErH4wddABU1quVIeib,7,5poup,The_girl_will_pass_the_bird_to_the_sheep,right,left,training,11/30/2021,16:13,right,1,4254.905999999999,1,Pre,PO,NonPred
d1ktpSfErH4wddABU1quVIeib,8,1poup,The_boy_will_throw_the_dinosaur_to_the_bear,right,left,training,11/30/2021,16:13,right,1,10058.905999999999,1,Pre,PO,NonPred
d1ktpSfErH4wddABU1quVIeib,9,8poup,Chase_will_give_the_deer_to_the_kitten,right,left,training,11/30/2021,16:13,right,1,7986.905999999999,1,Pre,PO,NonPred
d1ktpSfErH4wddABU1quVIeib,10,3poup,Rebecca_Rabbit_will_bring_the_frog_to_the_chicken,right,left,training,11/30/2021,16:13,right,1,12336.905999999999,1,Pre,PO,NonPred
d1ktpSfErH4wddABU1quVIeib,11,7poup,Bob_the_builder_will_throw_the_dog_to_the_penguin,right,left,training,11/30/2021,16:13,right,1,9425.905999999999,1,Pre,PO,NonPred
d1ktpSfErH4wddABU1quVIeib,12,12poup,Winnie_the_pooh_will_show_the_owl_to_the_duck,left,right,training,11/30/2021,16:13,left,1,10193.905999999999,1,Pre,PO,NonPred
