subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
jKVZJkEUAYCAGTBz9VnYGdeA8,1,9doup,Dora_the_explorer_will_bring_the_hippo_the_cow,left,right,training,4/17/2019,13:37,right,0,6194.748,1,Pre,DO,NonPred
jKVZJkEUAYCAGTBz9VnYGdeA8,2,6doup,Piglet_will_show_the_fish_the_ant,right,left,training,4/17/2019,13:37,right,1,4205.748,1,Pre,DO,NonPred
jKVZJkEUAYCAGTBz9VnYGdeA8,3,7doup,Bob_the_builder_will_throw_the_penguin_the_dog,right,left,training,4/17/2019,13:37,right,1,3178.748,1,Pre,DO,NonPred
jKVZJkEUAYCAGTBz9VnYGdeA8,4,11doup,Marshall_will_pass_the_bee_the_goat,right,left,training,4/17/2019,13:37,right,1,3839.748,1,Pre,DO,NonPred
jKVZJkEUAYCAGTBz9VnYGdeA8,5,3doup,Rebecca_Rabbit_will_bring_the_chicken_the_frog,right,left,training,4/17/2019,13:37,right,1,3570.748,1,Pre,DO,NonPred
jKVZJkEUAYCAGTBz9VnYGdeA8,6,10doup,Boots_will_send_the_caterpillar_to_the_pig,right,left,training,4/17/2019,13:37,right,1,3596.748,1,Pre,DO,NonPred
jKVZJkEUAYCAGTBz9VnYGdeA8,7,12doup,Winnie_the_pooh_will_show_the_duck_the_owl,left,right,training,4/17/2019,13:37,left,1,5635.748,1,Pre,DO,NonPred
jKVZJkEUAYCAGTBz9VnYGdeA8,8,5doup,The_girl_will_pass_the_sheep_the_bird,left,right,training,4/17/2019,13:37,left,1,3014.748,1,Pre,DO,NonPred
jKVZJkEUAYCAGTBz9VnYGdeA8,9,4doup,George_will_send_the_donkey_the_fox,right,left,training,4/17/2019,13:37,right,1,2047.748,1,Pre,DO,NonPred
jKVZJkEUAYCAGTBz9VnYGdeA8,10,8doup,Chase_will_give_the_kitten_the_deer,left,right,training,4/17/2019,13:37,left,1,1885.748,1,Pre,DO,NonPred
jKVZJkEUAYCAGTBz9VnYGdeA8,11,1doup,The_boy_will_throw_the_bear_the_dinosaur,left,right,training,4/17/2019,13:37,left,1,1853.748,1,Pre,DO,NonPred
jKVZJkEUAYCAGTBz9VnYGdeA8,12,2doup,Tigger_will_give_the_zebra_the_butterfly,left,right,training,4/17/2019,13:37,left,1,2322.748,1,Pre,DO,NonPred
