subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
pNsQc79CvDmKcwxd8oqMJ9rzO,1,8poup,Chase_will_give_the_deer_to_the_kitten,right,left,training,5/17/2022,10:48,right,1,4627.402,1,Pre,PO,NonPred
pNsQc79CvDmKcwxd8oqMJ9rzO,2,11poup,Marshall_will_pass_the_goat_to_the_bee,left,right,training,5/17/2022,10:48,left,1,2725.402,1,Pre,PO,NonPred
pNsQc79CvDmKcwxd8oqMJ9rzO,3,12poup,Winnie_the_pooh_will_show_the_owl_to_the_duck,right,left,training,5/17/2022,10:48,right,1,5573.402,1,Pre,PO,NonPred
pNsQc79CvDmKcwxd8oqMJ9rzO,4,2poup,Tigger_will_give_the_butterfly_to_the_zebra,right,left,training,5/17/2022,10:48,right,1,3410.402,1,Pre,PO,NonPred
pNsQc79CvDmKcwxd8oqMJ9rzO,5,4poup,George_will_send_the_fox_to_the_donkey,left,right,training,5/17/2022,10:48,left,1,3507.402,1,Pre,PO,NonPred
pNsQc79CvDmKcwxd8oqMJ9rzO,6,3poup,Rebecca_Rabbit_will_bring_the_frog_to_the_chicken,left,right,training,5/17/2022,10:48,left,1,2524.402,1,Pre,PO,NonPred
pNsQc79CvDmKcwxd8oqMJ9rzO,7,7poup,Bob_the_builder_will_throw_the_dog_to_the_penguin,right,left,training,5/17/2022,10:48,right,1,4171.402,1,Pre,PO,NonPred
pNsQc79CvDmKcwxd8oqMJ9rzO,8,9poup,Dora_the_explorer_will_bring_the_cow_to_the_hippo,right,left,training,5/17/2022,10:48,right,1,3200.402,1,Pre,PO,NonPred
pNsQc79CvDmKcwxd8oqMJ9rzO,9,1poup,The_boy_will_throw_the_dinosaur_to_the_bear,left,right,training,5/17/2022,10:48,left,1,3839.402,1,Pre,PO,NonPred
pNsQc79CvDmKcwxd8oqMJ9rzO,10,5poup,The_girl_will_pass_the_bird_to_the_sheep,left,right,training,5/17/2022,10:48,left,1,3175.402,1,Pre,PO,NonPred
pNsQc79CvDmKcwxd8oqMJ9rzO,11,6poup,Piglet_will_show_the_ant_to_the_fish,left,right,training,5/17/2022,10:48,left,1,24549.402000000002,1,Pre,PO,NonPred
pNsQc79CvDmKcwxd8oqMJ9rzO,12,10poup,Boots_will_send_the_pig_to_the_caterpillar,right,left,training,5/17/2022,10:48,right,1,2375.402,1,Pre,PO,NonPred
