subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
qIPVd7MkVjwBejSKW7Ysz4FJp,1,1poup,The_boy_will_throw_the_dinosaur_to_the_bear,left,right,training,7/18/2019,12:49,right,0,12391,1,Post,PO,NonPred
qIPVd7MkVjwBejSKW7Ysz4FJp,2,2poup,Tigger_will_give_the_butterfly_to_the_zebra,right,left,training,7/18/2019,12:49,right,1,4706,1,Post,PO,NonPred
qIPVd7MkVjwBejSKW7Ysz4FJp,3,6poup,Piglet_will_show_the_ant_to_the_fish,right,left,training,7/18/2019,12:49,right,1,867,1,Post,PO,NonPred
qIPVd7MkVjwBejSKW7Ysz4FJp,4,7poup,Bob_the_builder_will_throw_the_dog_to_the_penguin,left,right,training,7/18/2019,12:49,left,1,5137,1,Post,PO,NonPred
qIPVd7MkVjwBejSKW7Ysz4FJp,5,11poup,Marshall_will_pass_the_goat_to_the_bee,right,left,training,7/18/2019,12:49,right,1,4496,1,Post,PO,NonPred
qIPVd7MkVjwBejSKW7Ysz4FJp,6,5poup,The_girl_will_pass_the_bird_to_the_sheep,right,left,training,7/18/2019,12:49,right,1,6926,1,Post,PO,NonPred
qIPVd7MkVjwBejSKW7Ysz4FJp,7,10poup,Boots_will_send_the_pig_to_the_caterpillar,left,right,training,7/18/2019,12:49,right,0,2230,1,Post,PO,NonPred
qIPVd7MkVjwBejSKW7Ysz4FJp,8,9poup,Dora_the_explorer_will_bring_the_cow_to_the_hippo,left,right,training,7/18/2019,12:49,left,1,5549,1,Post,PO,NonPred
qIPVd7MkVjwBejSKW7Ysz4FJp,9,8poup,Chase_will_give_the_deer_to_the_kitten,left,right,training,7/18/2019,12:49,left,1,14562,1,Post,PO,NonPred
qIPVd7MkVjwBejSKW7Ysz4FJp,10,12poup,Winnie_the_pooh_will_show_the_owl_to_the_duck,right,left,training,7/18/2019,12:49,right,1,3647,1,Post,PO,NonPred
qIPVd7MkVjwBejSKW7Ysz4FJp,11,3poup,Rebecca_Rabbit_will_bring_the_frog_to_the_chicken,left,right,training,7/18/2019,12:49,left,1,2071,1,Post,PO,NonPred
qIPVd7MkVjwBejSKW7Ysz4FJp,12,4poup,George_will_send_the_fox_to_the_donkey,right,left,training,7/18/2019,12:49,right,1,22692,1,Post,PO,NonPred
