subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
qTp2qJzRLXQkputQgQ4evEeCq,1,8poup,Chase_will_give_the_deer_to_the_kitten,right,left,training,7/1/2019,14:17,right,1,6723.402,1,Post,PO,NonPred
qTp2qJzRLXQkputQgQ4evEeCq,2,4poup,George_will_send_the_fox_to_the_donkey,right,left,training,7/1/2019,14:17,right,1,1736.402,1,Post,PO,NonPred
qTp2qJzRLXQkputQgQ4evEeCq,3,6poup,Piglet_will_show_the_ant_to_the_fish,left,right,training,7/1/2019,14:17,left,1,3988.402,1,Post,PO,NonPred
qTp2qJzRLXQkputQgQ4evEeCq,4,2poup,Tigger_will_give_the_butterfly_to_the_zebra,right,left,training,7/1/2019,14:17,right,1,3360.402,1,Post,PO,NonPred
qTp2qJzRLXQkputQgQ4evEeCq,5,9poup,Dora_the_explorer_will_bring_the_cow_to_the_hippo,right,left,training,7/1/2019,14:17,right,1,1600.402,1,Post,PO,NonPred
qTp2qJzRLXQkputQgQ4evEeCq,6,3poup,Rebecca_Rabbit_will_bring_the_frog_to_the_chicken,left,right,training,7/1/2019,14:17,right,0,1357.402,1,Post,PO,NonPred
qTp2qJzRLXQkputQgQ4evEeCq,7,12poup,Winnie_the_pooh_will_show_the_owl_to_the_duck,left,right,training,7/1/2019,14:17,left,1,3385.402,1,Post,PO,NonPred
qTp2qJzRLXQkputQgQ4evEeCq,8,10poup,Boots_will_send_the_pig_to_the_caterpillar,right,left,training,7/1/2019,14:17,right,1,1867.402,1,Post,PO,NonPred
qTp2qJzRLXQkputQgQ4evEeCq,9,7poup,Bob_the_builder_will_throw_the_dog_to_the_penguin,right,left,training,7/1/2019,14:17,right,1,630.402,1,Post,PO,NonPred
qTp2qJzRLXQkputQgQ4evEeCq,10,1poup,The_boy_will_throw_the_dinosaur_to_the_bear,left,right,training,7/1/2019,14:17,left,1,1082.402,1,Post,PO,NonPred
qTp2qJzRLXQkputQgQ4evEeCq,11,11poup,Marshall_will_pass_the_goat_to_the_bee,left,right,training,7/1/2019,14:17,right,0,890.402,1,Post,PO,NonPred
qTp2qJzRLXQkputQgQ4evEeCq,12,5poup,The_girl_will_pass_the_bird_to_the_sheep,left,right,training,7/1/2019,14:17,right,0,2664.402,1,Post,PO,NonPred
