subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
racpgWbToYBvm2PZKewi1Bak0,1,12poup,Winnie_the_pooh_will_show_the_owl_to_the_duck,left,right,training,12/13/2021,15:41,right,0,31300.995000000003,1,Post,PO,NonPred
racpgWbToYBvm2PZKewi1Bak0,2,7poup,Bob_the_builder_will_throw_the_dog_to_the_penguin,right,left,training,12/13/2021,15:41,right,1,10856.995,1,Post,PO,NonPred
racpgWbToYBvm2PZKewi1Bak0,3,1poup,The_boy_will_throw_the_dinosaur_to_the_bear,left,right,training,12/13/2021,15:41,left,1,9620.995,1,Post,PO,NonPred
racpgWbToYBvm2PZKewi1Bak0,4,5poup,The_girl_will_pass_the_bird_to_the_sheep,right,left,training,12/13/2021,15:41,right,1,5077.995000000001,1,Post,PO,NonPred
racpgWbToYBvm2PZKewi1Bak0,5,3poup,Rebecca_Rabbit_will_bring_the_frog_to_the_chicken,left,right,training,12/13/2021,15:41,left,1,5218.995000000001,1,Post,PO,NonPred
racpgWbToYBvm2PZKewi1Bak0,6,11poup,Marshall_will_pass_the_goat_to_the_bee,right,left,training,12/13/2021,15:41,right,1,1960.9950000000008,1,Post,PO,NonPred
racpgWbToYBvm2PZKewi1Bak0,7,2poup,Tigger_will_give_the_butterfly_to_the_zebra,right,left,training,12/13/2021,15:41,right,1,2721.995000000001,1,Post,PO,NonPred
racpgWbToYBvm2PZKewi1Bak0,8,4poup,George_will_send_the_fox_to_the_donkey,right,left,training,12/13/2021,15:41,right,1,3633.995000000001,1,Post,PO,NonPred
racpgWbToYBvm2PZKewi1Bak0,9,9poup,Dora_the_explorer_will_bring_the_cow_to_the_hippo,left,right,training,12/13/2021,15:41,left,1,3016.995000000001,2,Post,PO,NonPred
racpgWbToYBvm2PZKewi1Bak0,10,8poup,Chase_will_give_the_deer_to_the_kitten,left,right,training,12/13/2021,15:41,left,1,3185.995000000001,1,Post,PO,NonPred
racpgWbToYBvm2PZKewi1Bak0,11,10poup,Boots_will_send_the_pig_to_the_caterpillar,right,left,training,12/13/2021,15:41,right,1,3106.995000000001,1,Post,PO,NonPred
racpgWbToYBvm2PZKewi1Bak0,12,6poup,Piglet_will_show_the_ant_to_the_fish,left,right,training,12/13/2021,15:41,left,1,2986.995000000001,1,Post,PO,NonPred
