subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
slWtiHbVenncwuaBxxFtepsJ7,1,3doup,Rebecca_Rabbit_will_bring_the_chicken_the_frog,left,right,training,1/22/2020,15:59,left,1,15093.1,1,Post,DO,NonPred
slWtiHbVenncwuaBxxFtepsJ7,2,6doup,Piglet_will_show_the_fish_the_ant,left,right,training,1/22/2020,15:59,left,1,26418.1,1,Post,DO,NonPred
slWtiHbVenncwuaBxxFtepsJ7,3,4doup,George_will_send_the_donkey_the_fox,left,right,training,1/22/2020,15:59,left,1,9408.1,1,Post,DO,NonPred
slWtiHbVenncwuaBxxFtepsJ7,4,2doup,Tigger_will_give_the_zebra_the_butterfly,left,right,training,1/22/2020,15:59,left,1,4987.1,1,Post,DO,NonPred
slWtiHbVenncwuaBxxFtepsJ7,5,11doup,Marshall_will_pass_the_bee_the_goat,right,left,training,1/22/2020,15:59,right,1,5929.1,1,Post,DO,NonPred
slWtiHbVenncwuaBxxFtepsJ7,6,12doup,Winnie_the_pooh_will_show_the_duck_the_owl,right,left,training,1/22/2020,15:59,right,1,8087.1,1,Post,DO,NonPred
slWtiHbVenncwuaBxxFtepsJ7,7,7doup,Bob_the_builder_will_throw_the_penguin_the_dog,left,right,training,1/22/2020,15:59,left,1,8045.1,1,Post,DO,NonPred
slWtiHbVenncwuaBxxFtepsJ7,8,5doup,The_girl_will_pass_the_sheep_the_bird,right,left,training,1/22/2020,15:59,right,1,6771.1,1,Post,DO,NonPred
slWtiHbVenncwuaBxxFtepsJ7,9,9doup,Dora_the_explorer_will_bring_the_hippo_the_cow,right,left,training,1/22/2020,15:59,right,1,6758.1,1,Post,DO,NonPred
slWtiHbVenncwuaBxxFtepsJ7,10,10doup,Boots_will_send_the_caterpillar_the_pig,right,left,training,1/22/2020,15:59,right,1,5192.1,1,Post,DO,NonPred
slWtiHbVenncwuaBxxFtepsJ7,11,1doup,The_boy_will_throw_the_bear_the_dinosaur,right,left,training,1/22/2020,15:59,right,1,5296.1,1,Post,DO,NonPred
slWtiHbVenncwuaBxxFtepsJ7,12,8doup,Chase_will_give_the_kitten_the_deer,left,right,training,1/22/2020,15:59,left,1,5057.1,1,Post,DO,NonPred
