subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
swh6BVE7cYXxCC9N9gMCzouir,1,11dop,Marshall_will_pass_the_bee_the_gloves,left,right,training,8/25/2022,11:50,left,1,2915.0370000000003,2,Post,DO,Pred
swh6BVE7cYXxCC9N9gMCzouir,2,8dop,Chase_will_give_the_kitten_the_bisuit,left,right,training,8/25/2022,11:50,left,1,4229.037,1,Post,DO,Pred
swh6BVE7cYXxCC9N9gMCzouir,3,7dop,Bob_the_builder_will_throw_the_penguin_the_shoe,right,left,training,8/25/2022,11:50,right,1,4871.037,1,Post,DO,Pred
swh6BVE7cYXxCC9N9gMCzouir,4,9dop,Dora_the_explorer_will_bring_the_hippo_the_spoon,right,left,training,8/25/2022,11:50,right,1,5615.037,1,Post,DO,Pred
swh6BVE7cYXxCC9N9gMCzouir,5,12dop,Winnie_the_pooh_will_show_the_duck_the_frisbee,right,left,training,8/25/2022,11:50,right,1,5569.037,1,Post,DO,Pred
swh6BVE7cYXxCC9N9gMCzouir,6,1dop,The_boy_will_throw_the_bear_the_cheese,left,right,training,8/25/2022,11:50,left,1,6264.037,1,Post,DO,Pred
swh6BVE7cYXxCC9N9gMCzouir,7,2dop,Tigger_will_give_the_zebra_the_bottle,right,left,training,8/25/2022,11:50,right,1,1819.0370000000003,1,Post,DO,Pred
swh6BVE7cYXxCC9N9gMCzouir,8,5dop,The_girl_will_pass_the_sheep_the_dress,left,right,training,8/25/2022,11:50,left,1,6233.037,1,Post,DO,Pred
swh6BVE7cYXxCC9N9gMCzouir,9,6dop,Piglet_will_show_the_fish_the_plate,left,right,training,8/25/2022,11:50,left,1,4727.037,1,Post,DO,Pred
swh6BVE7cYXxCC9N9gMCzouir,10,3dop,Rebecca_Rabbit_will_bring_the_chicken_the_pencil,left,right,training,8/25/2022,11:50,left,1,6643.037,1,Post,DO,Pred
swh6BVE7cYXxCC9N9gMCzouir,11,4dop,George_will_send_the_donkey_the_brush,right,left,training,8/25/2022,11:50,right,1,3833.0370000000003,1,Post,DO,Pred
swh6BVE7cYXxCC9N9gMCzouir,12,10dop,Boots_will_send_the_caterpillar_the_flower,right,left,training,8/25/2022,11:50,right,1,2160.0370000000003,1,Post,DO,Pred
