subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
tqBkwqzcrSSCQPyHndjtDhpTd,1,12doup,Winnie_the_pooh_will_show_the_duck_the_owl,left,right,training,11/1/2019,14:42,left,1,5946.012,1,Pre,DO,NonPred
tqBkwqzcrSSCQPyHndjtDhpTd,2,6doup,Piglet_will_show_the_fish_the_ant,right,left,training,11/1/2019,14:42,right,1,5161.012,1,Pre,DO,NonPred
tqBkwqzcrSSCQPyHndjtDhpTd,3,9doup,Dora_the_explorer_will_bring_the_hippo_the_cow,right,left,training,11/1/2019,14:42,right,1,3302.012,1,Pre,DO,NonPred
tqBkwqzcrSSCQPyHndjtDhpTd,4,2doup,Tigger_will_give_the_zebra_the_butterfly,left,right,training,11/1/2019,14:42,left,1,3904.012,1,Pre,DO,NonPred
tqBkwqzcrSSCQPyHndjtDhpTd,5,11doup,Marshall_will_pass_the_bee_the_goat,left,right,training,11/1/2019,14:42,left,1,1822.012,1,Pre,DO,NonPred
tqBkwqzcrSSCQPyHndjtDhpTd,6,4doup,George_will_send_the_donkey_the_fox,left,right,training,11/1/2019,14:42,left,1,2123.012,1,Pre,DO,NonPred
tqBkwqzcrSSCQPyHndjtDhpTd,7,3doup,Rebecca_Rabbit_will_bring_the_chicken_the_frog,left,right,training,11/1/2019,14:42,left,1,5810.012,2,Pre,DO,NonPred
tqBkwqzcrSSCQPyHndjtDhpTd,8,5doup,The_girl_will_pass_the_sheep_the_bird,left,right,training,11/1/2019,14:42,left,1,3804.012,1,Pre,DO,NonPred
tqBkwqzcrSSCQPyHndjtDhpTd,9,10doup,Boots_will_send_the_caterpillar_the_pig,right,left,training,11/1/2019,14:42,right,1,1194.012,1,Pre,DO,NonPred
tqBkwqzcrSSCQPyHndjtDhpTd,10,7doup,Bob_the_builder_will_throw_the_penguin_the_dog,right,left,training,11/1/2019,14:42,right,1,2303.012,1,Pre,DO,NonPred
tqBkwqzcrSSCQPyHndjtDhpTd,11,8doup,Chase_will_give_the_kitten_the_deer,right,left,training,11/1/2019,14:42,right,1,1862.012,1,Pre,DO,NonPred
tqBkwqzcrSSCQPyHndjtDhpTd,12,1doup,The_boy_will_throw_the_bear_the_dinosaur,right,left,training,11/1/2019,14:42,right,1,2672.012,1,Pre,DO,NonPred
