subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
waMCjYyiOiEpSjqoyvZHoYlhx,1,1pop,The_boy_will_throw_the_cheese_to_the_bear,right,left,training,7/18/2019,14:05,right,1,8788.729,1,Post,PO,Pred
waMCjYyiOiEpSjqoyvZHoYlhx,2,10pop,Boots_will_send_the_flower_to_the_caterpillar,right,left,training,7/18/2019,14:05,right,1,2933.7289999999994,1,Post,PO,Pred
waMCjYyiOiEpSjqoyvZHoYlhx,3,2pop,Tigger_will_give_the_bottle_to_the_zebra,left,right,training,7/18/2019,14:05,left,1,1131.7289999999994,1,Post,PO,Pred
waMCjYyiOiEpSjqoyvZHoYlhx,4,6pop,Piglet_will_show_the_plate_to_the_fish,right,left,training,7/18/2019,14:05,right,1,1201.7289999999994,1,Post,PO,Pred
waMCjYyiOiEpSjqoyvZHoYlhx,5,3pop,Rebecca_Rabbit_will_bring_the_pencil_to_the_chicken,right,left,training,7/18/2019,14:05,right,1,3236.7289999999994,1,Post,PO,Pred
waMCjYyiOiEpSjqoyvZHoYlhx,6,5pop,The_girl_will_pass_the_dress_to_the_sheep,left,right,training,7/18/2019,14:05,left,1,1994.7289999999994,1,Post,PO,Pred
waMCjYyiOiEpSjqoyvZHoYlhx,7,11pop,Marshall_will_pass_the_gloves_to_the_bee,right,left,training,7/18/2019,14:05,right,1,3541.7289999999994,1,Post,PO,Pred
waMCjYyiOiEpSjqoyvZHoYlhx,8,9pop,Dora_the_explorer_will_bring_the_spoon_to_the_hippo,right,left,training,7/18/2019,14:05,right,1,1317.7289999999994,1,Post,PO,Pred
waMCjYyiOiEpSjqoyvZHoYlhx,9,4pop,George_will_send_the_brush_to_the_donkey,left,right,training,7/18/2019,14:05,left,1,3741.7289999999994,1,Post,PO,Pred
waMCjYyiOiEpSjqoyvZHoYlhx,10,12pop,Winnie_the_pooh_will_show_the_frisbee_to_the_duck,left,right,training,7/18/2019,14:05,left,1,4462.728999999999,1,Post,PO,Pred
waMCjYyiOiEpSjqoyvZHoYlhx,11,8pop,Chase_will_give_the_biscuit_to_the_kitten,left,right,training,7/18/2019,14:05,left,1,2429.7289999999994,1,Post,PO,Pred
waMCjYyiOiEpSjqoyvZHoYlhx,12,7pop,Bob_the_builder_will_throw_the_shoe_to_the_penguin,left,right,training,7/18/2019,14:05,left,1,1063.7289999999994,1,Post,PO,Pred
