subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
xOXJxMDP1KBb72rbBEo22Mnmm,1,9doup,Dora_the_explorer_will_bring_the_hippo_the_cow,right,left,training,06/10/2019,11:04,right,1,8409.748,1,Post,DO,NonPred
xOXJxMDP1KBb72rbBEo22Mnmm,2,8doup,Chase_will_give_the_kitten_the_deer,left,right,training,06/10/2019,11:04,left,1,4683.748,1,Post,DO,NonPred
xOXJxMDP1KBb72rbBEo22Mnmm,3,11doup,Marshall_will_pass_the_bee_the_goat,left,right,training,06/10/2019,11:04,left,1,5275.748,1,Post,DO,NonPred
xOXJxMDP1KBb72rbBEo22Mnmm,4,3doup,Rebecca_Rabbit_will_bring_the_chicken_the_frog,right,left,training,06/10/2019,11:04,right,1,1562.748,1,Post,DO,NonPred
xOXJxMDP1KBb72rbBEo22Mnmm,5,5doup,The_girl_will_pass_the_sheep_the_bird,right,left,training,06/10/2019,11:04,right,1,2566.748,1,Post,DO,NonPred
xOXJxMDP1KBb72rbBEo22Mnmm,6,12doup,Winnie_the_pooh_will_show_the_duck_the_owl,left,right,training,06/10/2019,11:04,left,1,1777.748,1,Post,DO,NonPred
xOXJxMDP1KBb72rbBEo22Mnmm,7,7doup,Bob_the_builder_will_throw_the_penguin_the_dog,right,left,training,06/10/2019,11:04,right,1,2326.748,1,Post,DO,NonPred
xOXJxMDP1KBb72rbBEo22Mnmm,8,1doup,The_boy_will_throw_the_bear_the_dinosaur,left,right,training,06/10/2019,11:04,left,1,2846.748,1,Post,DO,NonPred
xOXJxMDP1KBb72rbBEo22Mnmm,9,10doup,Boots_will_send_the_caterpillar_to_the_pig,right,left,training,06/10/2019,11:04,right,1,1198.748,2,Post,DO,NonPred
xOXJxMDP1KBb72rbBEo22Mnmm,10,6doup,Piglet_will_show_the_fish_the_ant,left,right,training,06/10/2019,11:04,left,1,2208.748,1,Post,DO,NonPred
xOXJxMDP1KBb72rbBEo22Mnmm,11,2doup,Tigger_will_give_the_zebra_the_butterfly,left,right,training,06/10/2019,11:04,left,1,2170.748,1,Post,DO,NonPred
xOXJxMDP1KBb72rbBEo22Mnmm,12,4doup,George_will_send_the_donkey_the_fox,right,left,training,06/10/2019,11:04,right,1,2181.748,1,Post,DO,NonPred
