"subject_id" "trial_number" "trial_id" "target_sentence" "target_side" "other_side" "trial_type" "date_stamp" "time_stamp" "side_chosen" "accuracy" "rt" "play_counter" "order" "sentence_type" "animacy"
"17yCXAcVORBqpufI4fbQdvBdb" 1 "7doup" "Bob_the_builder_will_throw_the_penguin_the_dog" "left" "right" "training" "7/18/2019" "9:59" "left" 1 2839.442 1 "Post" "DO" "NonPred"
"17yCXAcVORBqpufI4fbQdvBdb" 2 "8doup" "Chase_will_give_the_kitten_the_deer" "right" "left" "training" "7/18/2019" "9:59" "right" 1 6313.442 1 "Post" "DO" "NonPred"
"17yCXAcVORBqpufI4fbQdvBdb" 3 "1doup" "The_boy_will_throw_the_bear_the_dinosaur" "left" "right" "training" "7/18/2019" "9:59" "left" 1 4662.442 1 "Post" "DO" "NonPred"
"17yCXAcVORBqpufI4fbQdvBdb" 4 "4doup" "George_will_send_the_donkey_the_fox" "left" "right" "training" "7/18/2019" "9:59" "left" 1 4535.442 1 "Post" "DO" "NonPred"
"17yCXAcVORBqpufI4fbQdvBdb" 5 "2doup" "Tigger_will_give_the_zebra_the_butterfly" "left" "right" "training" "7/18/2019" "9:59" "left" 1 1874.442 1 "Post" "DO" "NonPred"
"17yCXAcVORBqpufI4fbQdvBdb" 6 "11doup" "Marshall_will_pass_the_bee_the_goat" "right" "left" "training" "7/18/2019" "9:59" "right" 1 4437.442 1 "Post" "DO" "NonPred"
"17yCXAcVORBqpufI4fbQdvBdb" 7 "10doup" "Boots_will_send_the_caterpillar_to_the_pig" "left" "right" "training" "7/18/2019" "9:59" "left" 1 6102.442 1 "Post" "DO" "NonPred"
"17yCXAcVORBqpufI4fbQdvBdb" 8 "9doup" "Dora_the_explorer_will_bring_the_hippo_the_cow" "right" "left" "training" "7/18/2019" "9:59" "right" 1 5737.442 1 "Post" "DO" "NonPred"
"17yCXAcVORBqpufI4fbQdvBdb" 9 "5doup" "The_girl_will_pass_the_sheep_the_bird" "right" "left" "training" "7/18/2019" "9:59" "right" 1 6678.442 1 "Post" "DO" "NonPred"
"17yCXAcVORBqpufI4fbQdvBdb" 10 "12doup" "Winnie_the_pooh_will_show_the_duck_the_owl" "left" "right" "training" "7/18/2019" "9:59" "left" 1 5205.442 1 "Post" "DO" "NonPred"
"17yCXAcVORBqpufI4fbQdvBdb" 11 "6doup" "Piglet_will_show_the_fish_the_ant" "right" "left" "training" "7/18/2019" "9:59" "right" 1 3765.442 1 "Post" "DO" "NonPred"
"17yCXAcVORBqpufI4fbQdvBdb" 12 "3doup" "Rebecca_Rabbit_will_bring_the_chicken_the_frog" "right" "left" "training" "7/18/2019" "9:59" "right" 1 1313.442 1 "Post" "DO" "NonPred"
"1ebbSRddusMUfuZicVGxXhkbI" 1 "2poup" "Tigger_will_give_the_butterfly_to_the_zebra" "right" "left" "training" "7/1/2019" "10:43" "right" 1 17463.44 1 "Pre" "PO" "NonPred"
"1ebbSRddusMUfuZicVGxXhkbI" 2 "9poup" "Dora_the_explorer_will_bring_the_cow_to_the_hippo" "right" "left" "training" "7/1/2019" "10:43" "right" 1 4641.44 1 "Pre" "PO" "NonPred"
"1ebbSRddusMUfuZicVGxXhkbI" 3 "11poup" "Marshall_will_pass_the_goat_to_the_bee" "left" "right" "training" "7/1/2019" "10:43" "left" 1 1432.44 1 "Pre" "PO" "NonPred"
"1ebbSRddusMUfuZicVGxXhkbI" 4 "5poup" "The_girl_will_pass_the_bird_to_the_sheep" "right" "left" "training" "7/1/2019" "10:43" "right" 1 6020.44 1 "Pre" "PO" "NonPred"
"1ebbSRddusMUfuZicVGxXhkbI" 5 "4poup" "George_will_send_the_fox_to_the_donkey" "left" "right" "training" "7/1/2019" "10:43" "left" 1 1810.44 1 "Pre" "PO" "NonPred"
"1ebbSRddusMUfuZicVGxXhkbI" 6 "7poup" "Bob_the_builder_will_throw_the_dog_to_the_penguin" "left" "right" "training" "7/1/2019" "10:43" "left" 1 3919.44 1 "Pre" "PO" "NonPred"
"1ebbSRddusMUfuZicVGxXhkbI" 7 "1poup" "The_boy_will_throw_the_dinosaur_to_the_bear" "left" "right" "training" "7/1/2019" "10:43" "left" 1 993.440000000001 1 "Pre" "PO" "NonPred"
"1ebbSRddusMUfuZicVGxXhkbI" 8 "3poup" "Rebecca_Rabbit_will_bring_the_frog_to_the_chicken" "right" "left" "training" "7/1/2019" "10:43" "right" 1 1247.44 1 "Pre" "PO" "NonPred"
"1ebbSRddusMUfuZicVGxXhkbI" 9 "10poup" "Boots_will_send_the_pig_to_the_caterpillar" "left" "right" "training" "7/1/2019" "10:43" "left" 1 5982.44 1 "Pre" "PO" "NonPred"
"1ebbSRddusMUfuZicVGxXhkbI" 10 "6poup" "Piglet_will_show_the_ant_to_the_fish" "left" "right" "training" "7/1/2019" "10:43" "left" 1 9198.44 1 "Pre" "PO" "NonPred"
"1ebbSRddusMUfuZicVGxXhkbI" 11 "8poup" "Chase_will_give_the_deer_to_the_kitten" "right" "left" "training" "7/1/2019" "10:43" "right" 1 6798.44 1 "Pre" "PO" "NonPred"
"1ebbSRddusMUfuZicVGxXhkbI" 12 "12poup" "Winnie_the_pooh_will_show_the_owl_to_the_duck" "right" "left" "training" "7/1/2019" "10:43" "right" 1 3673.44 1 "Pre" "PO" "NonPred"
"1k3P0gDo6S69m8yf4ofLTpSPt" 1 "6doup" "Piglet_will_show_the_fish_the_ant" "right" "left" "training" "4/18/2019" "10:56" "right" 1 5351.352 1 "Post" "DO" "NonPred"
"1k3P0gDo6S69m8yf4ofLTpSPt" 2 "8doup" "Chase_will_give_the_kitten_the_deer" "left" "right" "training" "4/18/2019" "10:56" "left" 1 8388.352 1 "Post" "DO" "NonPred"
"1k3P0gDo6S69m8yf4ofLTpSPt" 3 "4doup" "George_will_send_the_donkey_the_fox" "left" "right" "training" "4/18/2019" "10:56" "left" 1 4960.352 1 "Post" "DO" "NonPred"
"1k3P0gDo6S69m8yf4ofLTpSPt" 4 "3doup" "Rebecca_Rabbit_will_bring_the_chicken_the_frog" "left" "right" "training" "4/18/2019" "10:56" "left" 1 6766.352 1 "Post" "DO" "NonPred"
"1k3P0gDo6S69m8yf4ofLTpSPt" 5 "11doup" "Marshall_will_pass_the_bee_the_goat" "left" "right" "training" "4/18/2019" "10:56" "left" 1 4762.352 1 "Post" "DO" "NonPred"
"1k3P0gDo6S69m8yf4ofLTpSPt" 6 "12doup" "Winnie_the_pooh_will_show_the_duck_the_owl" "right" "left" "training" "4/18/2019" "10:56" "right" 1 5393.352 1 "Post" "DO" "NonPred"
"1k3P0gDo6S69m8yf4ofLTpSPt" 7 "7doup" "Bob_the_builder_will_throw_the_penguin_the_dog" "right" "left" "training" "4/18/2019" "10:56" "right" 1 6602.352 1 "Post" "DO" "NonPred"
"1k3P0gDo6S69m8yf4ofLTpSPt" 8 "9doup" "Dora_the_explorer_will_bring_the_hippo_the_cow" "right" "left" "training" "4/18/2019" "10:56" "right" 1 6512.352 1 "Post" "DO" "NonPred"
"1k3P0gDo6S69m8yf4ofLTpSPt" 9 "2doup" "Tigger_will_give_the_zebra_the_butterfly" "left" "right" "training" "4/18/2019" "10:56" "left" 1 2165.352 1 "Post" "DO" "NonPred"
"1k3P0gDo6S69m8yf4ofLTpSPt" 10 "1doup" "The_boy_will_throw_the_bear_the_dinosaur" "left" "right" "training" "4/18/2019" "10:56" "left" 1 7788.352 1 "Post" "DO" "NonPred"
"1k3P0gDo6S69m8yf4ofLTpSPt" 11 "10doup" "Boots_will_send_the_caterpillar_to_the_pig" "right" "left" "training" "4/18/2019" "10:56" "right" 1 3903.352 1 "Post" "DO" "NonPred"
"1k3P0gDo6S69m8yf4ofLTpSPt" 12 "5doup" "The_girl_will_pass_the_sheep_the_bird" "right" "left" "training" "4/18/2019" "10:56" "right" 1 7870.352 1 "Post" "DO" "NonPred"
"1lnxkkBkcSSP61ZyjAlwc7ap7" 1 "3doup" "Rebecca_Rabbit_will_bring_the_chicken_the_frog" "left" "right" "training" "7/18/2019" "10:50" "left" 1 16266.1 1 "Post" "DO" "NonPred"
