subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
8jgAPlNrNhf7NHal2NhRU5cKP,1,8dop,Chase_will_give_the_kitten_the_bisuit,right,left,training,7/8/2019,10:40,right,1,2146.297999999999,1,Pre,DO,Pred
8jgAPlNrNhf7NHal2NhRU5cKP,2,3dop,Rebecca_Rabbit_will_bring_the_chicken_the_pencil,left,right,training,7/8/2019,10:40,left,1,3309.297999999999,1,Pre,DO,Pred
8jgAPlNrNhf7NHal2NhRU5cKP,3,6dop,Piglet_will_show_the_fish_the_plate,right,left,training,7/8/2019,10:40,right,1,1656.2979999999989,1,Pre,DO,Pred
8jgAPlNrNhf7NHal2NhRU5cKP,4,2dop,Tigger_will_give_the_zebra_the_bottle,left,right,training,7/8/2019,10:40,left,1,1859.2979999999989,1,Pre,DO,Pred
8jgAPlNrNhf7NHal2NhRU5cKP,5,1dop,The_boy_will_throw_the_bear_the_cheese,right,left,training,7/8/2019,10:40,right,1,1960.2979999999989,1,Pre,DO,Pred
8jgAPlNrNhf7NHal2NhRU5cKP,6,10dop,Boots_will_send_the_caterpillar_the_flower,left,right,training,7/8/2019,10:40,left,1,4722.297999999999,1,Pre,DO,Pred
8jgAPlNrNhf7NHal2NhRU5cKP,7,11dop,Marshall_will_pass_the_bee_the_gloves,right,left,training,7/8/2019,10:40,right,1,1357.2979999999989,1,Pre,DO,Pred
8jgAPlNrNhf7NHal2NhRU5cKP,8,7dop,Bob_the_builder_will_throw_the_penguin_the_shoe,left,right,training,7/8/2019,10:40,left,1,1410.2979999999989,1,Pre,DO,Pred
8jgAPlNrNhf7NHal2NhRU5cKP,9,12dop,Winnie_the_pooh_will_show_the_duck_the_frisbee,right,left,training,7/8/2019,10:40,right,1,2110.297999999999,1,Pre,DO,Pred
8jgAPlNrNhf7NHal2NhRU5cKP,10,9dop,Dora_the_explorer_will_bring_the_hippo_the_spoon,left,right,training,7/8/2019,10:40,left,1,2815.297999999999,1,Pre,DO,Pred
8jgAPlNrNhf7NHal2NhRU5cKP,11,5dop,The_girl_will_pass_the_sheep_the_dress,right,left,training,7/8/2019,10:40,right,1,991.2979999999989,1,Pre,DO,Pred
8jgAPlNrNhf7NHal2NhRU5cKP,12,4dop,George_will_send_the_donkey_the_brush,left,right,training,7/8/2019,10:40,left,1,1596.2979999999989,1,Pre,DO,Pred
