subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
AX082cIs5N5jjZORvfNQmWpNp,1,5pop,The_girl_will_pass_the_dress_to_the_sheep,left,right,training,4/24/2019,11:53,left,1,6608.342,1,Post,PO,Pred
AX082cIs5N5jjZORvfNQmWpNp,2,8pop,Chase_will_give_the_biscuit_to_the_kitten,right,left,training,4/24/2019,11:53,right,1,2192.342,1,Post,PO,Pred
AX082cIs5N5jjZORvfNQmWpNp,3,9pop,Dora_the_explorer_will_bring_the_spoon_to_the_hippo,right,left,training,4/24/2019,11:53,right,1,4901.342,1,Post,PO,Pred
AX082cIs5N5jjZORvfNQmWpNp,4,11pop,Marshall_will_pass_the_gloves_to_the_bee,right,left,training,4/24/2019,11:53,right,1,3092.342,1,Post,PO,Pred
AX082cIs5N5jjZORvfNQmWpNp,5,1pop,The_boy_will_throw_the_cheese_to_the_bear,left,right,training,4/24/2019,11:53,left,1,4808.342,1,Post,PO,Pred
AX082cIs5N5jjZORvfNQmWpNp,6,4pop,George_will_send_the_brush_to_the_donkey,left,right,training,4/24/2019,11:53,left,1,3552.342,1,Post,PO,Pred
AX082cIs5N5jjZORvfNQmWpNp,7,10pop,Boots_will_send_the_flower_to_the_caterpillar,right,left,training,4/24/2019,11:53,right,1,6024.342,1,Post,PO,Pred
AX082cIs5N5jjZORvfNQmWpNp,8,7pop,Bob_the_builder_will_throw_the_shoe_to_the_penguin,left,right,training,4/24/2019,11:53,left,1,3518.342,1,Post,PO,Pred
AX082cIs5N5jjZORvfNQmWpNp,9,2pop,Tigger_will_give_the_bottle_to_the_zebra,left,right,training,4/24/2019,11:53,left,1,8783.342,1,Post,PO,Pred
AX082cIs5N5jjZORvfNQmWpNp,10,3pop,Rebecca_Rabbit_will_bring_the_pencil_to_the_chicken,right,left,training,4/24/2019,11:53,right,1,700.342,1,Post,PO,Pred
AX082cIs5N5jjZORvfNQmWpNp,11,12pop,Winnie_the_pooh_will_show_the_frisbee_to_the_duck,left,right,training,4/24/2019,11:53,left,1,4271.342,1,Post,PO,Pred
AX082cIs5N5jjZORvfNQmWpNp,12,6pop,Piglet_will_show_the_plate_to_the_fish,right,left,training,4/24/2019,11:53,right,1,953.342,1,Post,PO,Pred
