subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
DuCpKX1bRkSFGjBv9kD8PDads,1,4poup,George_will_send_the_fox_to_the_donkey,right,left,training,6/17/2019,10:08,right,1,7708.791,1,Post,PO,NonPred
DuCpKX1bRkSFGjBv9kD8PDads,2,8poup,Chase_will_give_the_deer_to_the_kitten,left,right,training,6/17/2019,10:08,left,1,3257.791,1,Post,PO,NonPred
DuCpKX1bRkSFGjBv9kD8PDads,3,10poup,Boots_will_send_the_pig_to_the_caterpillar,right,left,training,6/17/2019,10:08,right,1,3320.791,1,Post,PO,NonPred
DuCpKX1bRkSFGjBv9kD8PDads,4,12poup,Winnie_the_pooh_will_show_the_owl_to_the_duck,right,left,training,6/17/2019,10:08,right,1,5933.791,1,Post,PO,NonPred
DuCpKX1bRkSFGjBv9kD8PDads,5,7poup,Bob_the_builder_will_throw_the_dog_to_the_penguin,left,right,training,6/17/2019,10:08,left,1,3662.791,1,Post,PO,NonPred
DuCpKX1bRkSFGjBv9kD8PDads,6,1poup,The_boy_will_throw_the_dinosaur_to_the_bear,right,left,training,6/17/2019,10:08,right,1,2467.791,1,Post,PO,NonPred
DuCpKX1bRkSFGjBv9kD8PDads,7,5poup,The_girl_will_pass_the_bird_to_the_sheep,right,left,training,6/17/2019,10:08,right,1,3152.791,1,Post,PO,NonPred
DuCpKX1bRkSFGjBv9kD8PDads,8,3poup,Rebecca_Rabbit_will_bring_the_frog_to_the_chicken,left,right,training,6/17/2019,10:08,left,1,1413.791,1,Post,PO,NonPred
DuCpKX1bRkSFGjBv9kD8PDads,9,9poup,Dora_the_explorer_will_bring_the_cow_to_the_hippo,left,right,training,6/17/2019,10:08,left,1,2612.791,1,Post,PO,NonPred
DuCpKX1bRkSFGjBv9kD8PDads,10,2poup,Tigger_will_give_the_butterfly_to_the_zebra,left,right,training,6/17/2019,10:08,left,1,1700.791,1,Post,PO,NonPred
DuCpKX1bRkSFGjBv9kD8PDads,11,6poup,Piglet_will_show_the_ant_to_the_fish,left,right,training,6/17/2019,10:08,left,1,1961.791,1,Post,PO,NonPred
DuCpKX1bRkSFGjBv9kD8PDads,12,11poup,Marshall_will_pass_the_goat_to_the_bee,right,left,training,6/17/2019,10:08,right,1,1337.791,1,Post,PO,NonPred
