subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
FjsXiQzIKRCaqW3ZWdhmDY6qC,1,9doup,Dora_the_explorer_will_bring_the_hippo_the_cow,right,left,training,7/18/2019,9:36,right,1,12321.748,1,Pre,DO,NonPred
FjsXiQzIKRCaqW3ZWdhmDY6qC,2,5doup,The_girl_will_pass_the_sheep_the_bird,left,right,training,7/18/2019,9:36,left,1,8097.748,1,Pre,DO,NonPred
FjsXiQzIKRCaqW3ZWdhmDY6qC,3,2doup,Tigger_will_give_the_zebra_the_butterfly,right,left,training,7/18/2019,9:36,right,1,1296.7479999999996,1,Pre,DO,NonPred
FjsXiQzIKRCaqW3ZWdhmDY6qC,4,12doup,Winnie_the_pooh_will_show_the_duck_the_owl,left,right,training,7/18/2019,9:36,left,1,2095.7479999999996,1,Pre,DO,NonPred
FjsXiQzIKRCaqW3ZWdhmDY6qC,5,11doup,Marshall_will_pass_the_bee_the_goat,left,right,training,7/18/2019,9:36,left,1,2084.7479999999996,1,Pre,DO,NonPred
FjsXiQzIKRCaqW3ZWdhmDY6qC,6,3doup,Rebecca_Rabbit_will_bring_the_chicken_the_frog,right,left,training,7/18/2019,9:36,left,0,1206.7479999999996,1,Pre,DO,NonPred
FjsXiQzIKRCaqW3ZWdhmDY6qC,7,8doup,Chase_will_give_the_kitten_the_deer,left,right,training,7/18/2019,9:36,left,1,3139.7479999999996,1,Pre,DO,NonPred
FjsXiQzIKRCaqW3ZWdhmDY6qC,8,6doup,Piglet_will_show_the_fish_the_ant,left,right,training,7/18/2019,9:36,left,1,1146.7479999999996,1,Pre,DO,NonPred
FjsXiQzIKRCaqW3ZWdhmDY6qC,9,7doup,Bob_the_builder_will_throw_the_penguin_the_dog,right,left,training,7/18/2019,9:36,left,0,2167.7479999999996,1,Pre,DO,NonPred
FjsXiQzIKRCaqW3ZWdhmDY6qC,10,1doup,The_boy_will_throw_the_bear_the_dinosaur,left,right,training,7/18/2019,9:36,left,1,1668.7479999999996,1,Pre,DO,NonPred
FjsXiQzIKRCaqW3ZWdhmDY6qC,11,4doup,George_will_send_the_donkey_the_fox,right,left,training,7/18/2019,9:36,right,1,2614.7479999999996,1,Pre,DO,NonPred
FjsXiQzIKRCaqW3ZWdhmDY6qC,12,10doup,Boots_will_send_the_caterpillar_to_the_pig,right,left,training,7/18/2019,9:36,right,1,1083.7479999999996,1,Pre,DO,NonPred
