subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
IJRTd7WULy3UcrqSAj58fK5Hk,1,3poup,Rebecca_Rabbit_will_bring_the_frog_to_the_chicken,right,left,training,7/18/2019,14:23,left,0,5247.435000000001,1,Post,PO,NonPred
IJRTd7WULy3UcrqSAj58fK5Hk,2,11poup,Marshall_will_pass_the_goat_to_the_bee,right,left,training,7/18/2019,14:23,right,1,7746.435000000001,1,Post,PO,NonPred
IJRTd7WULy3UcrqSAj58fK5Hk,3,1poup,The_boy_will_throw_the_dinosaur_to_the_bear,left,right,training,7/18/2019,14:23,left,1,5462.435000000001,1,Post,PO,NonPred
IJRTd7WULy3UcrqSAj58fK5Hk,4,10poup,Boots_will_send_the_pig_to_the_caterpillar,right,left,training,7/18/2019,14:23,right,1,12176.435000000001,1,Post,PO,NonPred
IJRTd7WULy3UcrqSAj58fK5Hk,5,2poup,Tigger_will_give_the_butterfly_to_the_zebra,left,right,training,7/18/2019,14:23,left,1,29144.435,1,Post,PO,NonPred
IJRTd7WULy3UcrqSAj58fK5Hk,6,8poup,Chase_will_give_the_deer_to_the_kitten,right,left,training,7/18/2019,14:23,left,0,3331.4350000000013,1,Post,PO,NonPred
IJRTd7WULy3UcrqSAj58fK5Hk,7,12poup,Winnie_the_pooh_will_show_the_owl_to_the_duck,right,left,training,7/18/2019,14:23,left,0,4250.435000000001,1,Post,PO,NonPred
IJRTd7WULy3UcrqSAj58fK5Hk,8,9poup,Dora_the_explorer_will_bring_the_cow_to_the_hippo,left,right,training,7/18/2019,14:23,left,1,3268.4350000000013,1,Post,PO,NonPred
IJRTd7WULy3UcrqSAj58fK5Hk,9,7poup,Bob_the_builder_will_throw_the_dog_to_the_penguin,left,right,training,7/18/2019,14:23,left,1,2818.4350000000013,1,Post,PO,NonPred
IJRTd7WULy3UcrqSAj58fK5Hk,10,5poup,The_girl_will_pass_the_bird_to_the_sheep,left,right,training,7/18/2019,14:23,left,1,5536.435000000001,1,Post,PO,NonPred
IJRTd7WULy3UcrqSAj58fK5Hk,11,4poup,George_will_send_the_fox_to_the_donkey,right,left,training,7/18/2019,14:23,left,0,7274.435000000001,1,Post,PO,NonPred
IJRTd7WULy3UcrqSAj58fK5Hk,12,6poup,Piglet_will_show_the_ant_to_the_fish,left,right,training,7/18/2019,14:23,left,1,9856.435000000001,1,Post,PO,NonPred
