subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
PnCnWQzKPxQeSD1QGec5OAPEt,1,1poup,The_boy_will_throw_the_dinosaur_to_the_bear,left,right,training,6/17/2019,09:53,left,1,12262,1,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,2,7poup,Bob_the_builder_will_throw_the_dog_to_the_penguin,right,left,training,6/17/2019,09:53,right,1,5732,1,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,3,12poup,Winnie_the_pooh_will_show_the_owl_to_the_duck,left,right,training,6/17/2019,09:53,left,1,7659,1,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,4,9poup,Dora_the_explorer_will_bring_the_cow_to_the_hippo,right,left,training,6/17/2019,09:53,right,1,2902,1,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,5,4poup,George_will_send_the_fox_to_the_donkey,left,right,training,6/17/2019,09:53,left,1,3089,1,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,6,2poup,Tigger_will_give_the_butterfly_to_the_zebra,right,left,training,6/17/2019,09:53,right,1,5434,1,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,7,6poup,Piglet_will_show_the_ant_to_the_fish,right,left,training,6/17/2019,09:53,right,1,1689,1,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,8,8poup,Chase_will_give_the_deer_to_the_kitten,left,right,training,6/17/2019,09:53,left,1,2184,1,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,9,10poup,Boots_will_send_the_pig_to_the_caterpillar,right,left,training,6/17/2019,09:53,right,1,2015,1,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,10,11poup,Marshall_will_pass_the_goat_to_the_bee,left,right,training,6/17/2019,09:53,left,1,3294,1,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,11,5poup,The_girl_will_pass_the_bird_to_the_sheep,right,left,training,6/17/2019,09:53,right,1,2086,1,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,12,3poup,Rebecca_Rabbit_will_bring_the_frog_to_the_chicken,left,right,training,6/17/2019,09:53,right,0,963,1,Pre,PO,NonPred
