subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
iseNCnCqCEyIiNnjFag4ulgmD,1,12doup,Winnie_the_pooh_will_show_the_duck_the_owl,left,right,training,6/17/2019,10:51,left,1,3278.012,1,Pre,DO,NonPred
iseNCnCqCEyIiNnjFag4ulgmD,2,1doup,The_boy_will_throw_the_bear_the_dinosaur,right,left,training,6/17/2019,10:51,right,1,3644.012,1,Pre,DO,NonPred
iseNCnCqCEyIiNnjFag4ulgmD,3,9doup,Dora_the_explorer_will_bring_the_hippo_the_cow,right,left,training,6/17/2019,10:51,right,1,3009.012,1,Pre,DO,NonPred
iseNCnCqCEyIiNnjFag4ulgmD,4,6doup,Piglet_will_show_the_fish_the_ant,left,right,training,6/17/2019,10:51,left,1,1856.012,1,Pre,DO,NonPred
iseNCnCqCEyIiNnjFag4ulgmD,5,5doup,The_girl_will_pass_the_sheep_the_bird,left,right,training,6/17/2019,10:51,left,1,3397.012,1,Pre,DO,NonPred
iseNCnCqCEyIiNnjFag4ulgmD,6,11doup,Marshall_will_pass_the_bee_the_goat,left,right,training,6/17/2019,10:51,left,1,747.012,1,Pre,DO,NonPred
iseNCnCqCEyIiNnjFag4ulgmD,7,4doup,George_will_send_the_donkey_the_fox,left,right,training,6/17/2019,10:51,left,1,3139.012,1,Pre,DO,NonPred
iseNCnCqCEyIiNnjFag4ulgmD,8,7doup,Bob_the_builder_will_throw_the_penguin_the_dog,right,left,training,6/17/2019,10:51,right,1,3410.012,1,Pre,DO,NonPred
iseNCnCqCEyIiNnjFag4ulgmD,9,8doup,Chase_will_give_the_kitten_the_deer,right,left,training,6/17/2019,10:51,right,1,1174.012,1,Pre,DO,NonPred
iseNCnCqCEyIiNnjFag4ulgmD,10,10doup,Boots_will_send_the_caterpillar_to_the_pig,right,left,training,6/17/2019,10:51,right,1,1281.012,1,Pre,DO,NonPred
iseNCnCqCEyIiNnjFag4ulgmD,11,2doup,Tigger_will_give_the_zebra_the_butterfly,right,left,training,6/17/2019,10:51,right,1,1413.012,1,Pre,DO,NonPred
iseNCnCqCEyIiNnjFag4ulgmD,12,3doup,Rebecca_Rabbit_will_bring_the_chicken_the_frog,left,right,training,6/17/2019,10:51,left,1,804.012,1,Pre,DO,NonPred
