subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
n1rv5Hr5IS81uEHeBAJK9gCzL,1,9poup,Dora_the_explorer_will_bring_the_cow_to_the_hippo,right,left,training,05/03/2019,16:21,right,1,2691.756,1,Pre,PO,NonPred
n1rv5Hr5IS81uEHeBAJK9gCzL,2,3poup,Rebecca_Rabbit_will_bring_the_frog_to_the_chicken,left,right,training,05/03/2019,16:21,left,1,2329.756,1,Pre,PO,NonPred
n1rv5Hr5IS81uEHeBAJK9gCzL,3,8poup,Chase_will_give_the_deer_to_the_kitten,left,right,training,05/03/2019,16:21,left,1,2049.756,1,Pre,PO,NonPred
n1rv5Hr5IS81uEHeBAJK9gCzL,4,5poup,The_girl_will_pass_the_bird_to_the_sheep,left,right,training,05/03/2019,16:21,left,1,5764.756,1,Pre,PO,NonPred
n1rv5Hr5IS81uEHeBAJK9gCzL,5,11poup,Marshall_will_pass_the_goat_to_the_bee,right,left,training,05/03/2019,16:21,right,1,4231.756,1,Pre,PO,NonPred
n1rv5Hr5IS81uEHeBAJK9gCzL,6,10poup,Boots_will_send_the_pig_to_the_caterpillar,right,left,training,05/03/2019,16:21,right,1,1326.756,1,Pre,PO,NonPred
n1rv5Hr5IS81uEHeBAJK9gCzL,7,4poup,George_will_send_the_fox_to_the_donkey,left,right,training,05/03/2019,16:21,left,1,2968.756,1,Pre,PO,NonPred
n1rv5Hr5IS81uEHeBAJK9gCzL,8,6poup,Piglet_will_show_the_ant_to_the_fish,right,left,training,05/03/2019,16:21,right,1,2033.756,1,Pre,PO,NonPred
n1rv5Hr5IS81uEHeBAJK9gCzL,9,7poup,Bob_the_builder_will_throw_the_dog_to_the_penguin,left,right,training,05/03/2019,16:21,left,1,2204.756,1,Pre,PO,NonPred
n1rv5Hr5IS81uEHeBAJK9gCzL,10,12poup,Winnie_the_pooh_will_show_the_owl_to_the_duck,left,right,training,05/03/2019,16:21,left,1,4827.756,1,Pre,PO,NonPred
n1rv5Hr5IS81uEHeBAJK9gCzL,11,1poup,The_boy_will_throw_the_dinosaur_to_the_bear,right,left,training,05/03/2019,16:21,right,1,1476.756,1,Pre,PO,NonPred
n1rv5Hr5IS81uEHeBAJK9gCzL,12,2poup,Tigger_will_give_the_butterfly_to_the_zebra,right,left,training,05/03/2019,16:21,right,1,1017.756,1,Pre,PO,NonPred
