subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
qERmhp1ljqqmuV3d0Az4rdOtJ,1,10dop,Boots_will_send_the_caterpillar_the_flower,left,right,training,4/17/2019,11:49,left,1,5001.385,1,Pre,DO,Pred
qERmhp1ljqqmuV3d0Az4rdOtJ,2,5dop,The_girl_will_pass_the_sheep_the_dress,left,right,training,4/17/2019,11:49,left,1,4935.385,1,Pre,DO,Pred
qERmhp1ljqqmuV3d0Az4rdOtJ,3,11dop,Marshall_will_pass_the_bee_the_gloves,right,left,training,4/17/2019,11:49,right,1,3102.385,1,Pre,DO,Pred
qERmhp1ljqqmuV3d0Az4rdOtJ,4,8dop,Chase_will_give_the_kitten_the_bisuit,left,right,training,4/17/2019,11:49,left,1,3927.385,1,Pre,DO,Pred
qERmhp1ljqqmuV3d0Az4rdOtJ,5,9dop,Dora_the_explorer_will_bring_the_hippo_the_spoon,right,left,training,4/17/2019,11:49,right,1,3681.385,1,Pre,DO,Pred
qERmhp1ljqqmuV3d0Az4rdOtJ,6,7dop,Bob_the_builder_will_throw_the_penguin_the_shoe,left,right,training,4/17/2019,11:49,left,1,3335.385,1,Pre,DO,Pred
qERmhp1ljqqmuV3d0Az4rdOtJ,7,3dop,Rebecca_Rabbit_will_bring_the_chicken_the_pencil,left,right,training,4/17/2019,11:49,left,1,2142.385,1,Pre,DO,Pred
qERmhp1ljqqmuV3d0Az4rdOtJ,8,2dop,Tigger_will_give_the_zebra_the_bottle,right,left,training,4/17/2019,11:49,right,1,3174.385,1,Pre,DO,Pred
qERmhp1ljqqmuV3d0Az4rdOtJ,9,12dop,Winnie_the_pooh_will_show_the_duck_the_frisbee,left,right,training,4/17/2019,11:49,left,1,2407.385,1,Pre,DO,Pred
qERmhp1ljqqmuV3d0Az4rdOtJ,10,6dop,Piglet_will_show_the_fish_the_plate,right,left,training,4/17/2019,11:49,right,1,2878.385,1,Pre,DO,Pred
qERmhp1ljqqmuV3d0Az4rdOtJ,11,1dop,The_boy_will_throw_the_bear_the_cheese,right,left,training,4/17/2019,11:49,right,1,2631.385,1,Pre,DO,Pred
qERmhp1ljqqmuV3d0Az4rdOtJ,12,4dop,George_will_send_the_donkey_the_brush,right,left,training,4/17/2019,11:49,right,1,2706.385,1,Pre,DO,Pred
