subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
vaHpiUsmrpyazjrmOilkoELWV,1,11doup,Marshall_will_pass_the_bee_the_goat,right,left,training,7/1/2019,9:23,right,1,7773.184000000001,1,Post,DO,NonPred
vaHpiUsmrpyazjrmOilkoELWV,2,6doup,Piglet_will_show_the_fish_the_ant,right,left,training,7/1/2019,9:23,right,1,4318.184000000001,1,Post,DO,NonPred
vaHpiUsmrpyazjrmOilkoELWV,3,1doup,The_boy_will_throw_the_bear_the_dinosaur,right,left,training,7/1/2019,9:23,right,1,5181.184000000001,1,Post,DO,NonPred
vaHpiUsmrpyazjrmOilkoELWV,4,3doup,Rebecca_Rabbit_will_bring_the_chicken_the_frog,left,right,training,7/1/2019,9:23,left,1,4738.184000000001,1,Post,DO,NonPred
vaHpiUsmrpyazjrmOilkoELWV,5,7doup,Bob_the_builder_will_throw_the_penguin_the_dog,left,right,training,7/1/2019,9:23,left,1,4675.184000000001,1,Post,DO,NonPred
vaHpiUsmrpyazjrmOilkoELWV,6,4doup,George_will_send_the_donkey_the_fox,right,left,training,7/1/2019,9:23,right,1,3230.184000000001,1,Post,DO,NonPred
vaHpiUsmrpyazjrmOilkoELWV,7,12doup,Winnie_the_pooh_will_show_the_duck_the_owl,right,left,training,7/1/2019,9:23,right,1,5350.184000000001,1,Post,DO,NonPred
vaHpiUsmrpyazjrmOilkoELWV,8,10doup,Boots_will_send_the_caterpillar_to_the_pig,left,right,training,7/1/2019,9:23,left,1,4408.184000000001,1,Post,DO,NonPred
vaHpiUsmrpyazjrmOilkoELWV,9,9doup,Dora_the_explorer_will_bring_the_hippo_the_cow,left,right,training,7/1/2019,9:23,left,1,4299.184000000001,1,Post,DO,NonPred
vaHpiUsmrpyazjrmOilkoELWV,10,2doup,Tigger_will_give_the_zebra_the_butterfly,left,right,training,7/1/2019,9:23,left,1,3502.184000000001,1,Post,DO,NonPred
vaHpiUsmrpyazjrmOilkoELWV,11,8doup,Chase_will_give_the_kitten_the_deer,right,left,training,7/1/2019,9:23,right,1,5256.184000000001,1,Post,DO,NonPred
vaHpiUsmrpyazjrmOilkoELWV,12,5doup,The_girl_will_pass_the_sheep_the_bird,left,right,training,7/1/2019,9:23,left,1,4790.184000000001,1,Post,DO,NonPred
