subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
vsxya63otHcQF6RbUhkeVmsfs,1,3doup,Rebecca_Rabbit_will_bring_the_chicken_the_frog,left,right,training,7/18/2019,13:39,left,1,3306.1000000000004,1,Pre,DO,NonPred
vsxya63otHcQF6RbUhkeVmsfs,2,7doup,Bob_the_builder_will_throw_the_penguin_the_dog,left,right,training,7/18/2019,13:39,left,1,4366.1,1,Pre,DO,NonPred
vsxya63otHcQF6RbUhkeVmsfs,3,12doup,Winnie_the_pooh_will_show_the_duck_the_owl,left,right,training,7/18/2019,13:39,left,1,3850.1000000000004,1,Pre,DO,NonPred
vsxya63otHcQF6RbUhkeVmsfs,4,1doup,The_boy_will_throw_the_bear_the_dinosaur,right,left,training,7/18/2019,13:39,right,1,5080.1,1,Pre,DO,NonPred
vsxya63otHcQF6RbUhkeVmsfs,5,4doup,George_will_send_the_donkey_the_fox,right,left,training,7/18/2019,13:39,right,1,3033.1000000000004,1,Pre,DO,NonPred
vsxya63otHcQF6RbUhkeVmsfs,6,6doup,Piglet_will_show_the_fish_the_ant,left,right,training,7/18/2019,13:39,left,1,2508.1000000000004,1,Pre,DO,NonPred
vsxya63otHcQF6RbUhkeVmsfs,7,11doup,Marshall_will_pass_the_bee_the_goat,right,left,training,7/18/2019,13:39,right,1,2042.1000000000004,1,Pre,DO,NonPred
vsxya63otHcQF6RbUhkeVmsfs,8,5doup,The_girl_will_pass_the_sheep_the_bird,right,left,training,7/18/2019,13:39,right,1,6169.1,1,Pre,DO,NonPred
vsxya63otHcQF6RbUhkeVmsfs,9,8doup,Chase_will_give_the_kitten_the_deer,right,left,training,7/18/2019,13:39,right,1,3593.1000000000004,1,Pre,DO,NonPred
vsxya63otHcQF6RbUhkeVmsfs,10,9doup,Dora_the_explorer_will_bring_the_hippo_the_cow,left,right,training,7/18/2019,13:39,left,1,3372.1000000000004,1,Pre,DO,NonPred
vsxya63otHcQF6RbUhkeVmsfs,11,10doup,Boots_will_send_the_caterpillar_to_the_pig,left,right,training,7/18/2019,13:39,left,1,3176.1000000000004,1,Pre,DO,NonPred
vsxya63otHcQF6RbUhkeVmsfs,12,2doup,Tigger_will_give_the_zebra_the_butterfly,right,left,training,7/18/2019,13:39,right,1,2969.1000000000004,1,Pre,DO,NonPred
