subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
wfcWd1ijOjkzprK8XXeLLNufk,1,6pop,Piglet_will_show_the_plate_to_the_fish,right,left,training,7/1/2019,9:42,right,1,11618.1857,1,Pre,PO,Pred
wfcWd1ijOjkzprK8XXeLLNufk,2,8pop,Chase_will_give_the_biscuit_to_the_kitten,right,left,training,7/1/2019,9:42,right,1,4519.1857,1,Pre,PO,Pred
wfcWd1ijOjkzprK8XXeLLNufk,3,4pop,George_will_send_the_brush_to_the_donkey,left,right,training,7/1/2019,9:42,left,1,6023.1857,1,Pre,PO,Pred
wfcWd1ijOjkzprK8XXeLLNufk,4,11pop,Marshall_will_pass_the_gloves_to_the_bee,left,right,training,7/1/2019,9:42,left,1,4373.1857,1,Pre,PO,Pred
wfcWd1ijOjkzprK8XXeLLNufk,5,12pop,Winnie_the_pooh_will_show_the_frisbee_to_the_duck,left,right,training,7/1/2019,9:42,left,1,4791.1857,1,Pre,PO,Pred
wfcWd1ijOjkzprK8XXeLLNufk,6,9pop,Dora_the_explorer_will_bring_the_spoon_to_the_hippo,right,left,training,7/1/2019,9:42,right,1,6619.1857,1,Pre,PO,Pred
wfcWd1ijOjkzprK8XXeLLNufk,7,2pop,Tigger_will_give_the_bottle_to_the_zebra,left,right,training,7/1/2019,9:42,left,1,3565.1857,1,Pre,PO,Pred
wfcWd1ijOjkzprK8XXeLLNufk,8,7pop,Bob_the_builder_will_throw_the_shoe_to_the_penguin,left,right,training,7/1/2019,9:42,left,1,3893.1857,1,Pre,PO,Pred
wfcWd1ijOjkzprK8XXeLLNufk,9,10pop,Boots_will_send_the_flower_to_the_caterpillar,right,left,training,7/1/2019,9:42,right,1,3401.1857,1,Pre,PO,Pred
wfcWd1ijOjkzprK8XXeLLNufk,10,3pop,Rebecca_Rabbit_will_bring_the_pencil_to_the_chicken,right,left,training,7/1/2019,9:42,right,1,1148.1857,1,Pre,PO,Pred
wfcWd1ijOjkzprK8XXeLLNufk,11,5pop,The_girl_will_pass_the_dress_to_the_sheep,left,right,training,7/1/2019,9:42,left,1,3917.1857,1,Pre,PO,Pred
wfcWd1ijOjkzprK8XXeLLNufk,12,1pop,The_boy_will_throw_the_cheese_to_the_bear,right,left,training,7/1/2019,9:42,right,1,4444.1857,1,Pre,PO,Pred
