subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
yUEihKLeHQoFJwOIubQbSQHsV,1,8poup,Chase_will_give_the_deer_to_the_kitten,right,left,training,7/1/2019,14:01,right,1,7928.402,1,Pre,PO,NonPred
yUEihKLeHQoFJwOIubQbSQHsV,2,2poup,Tigger_will_give_the_butterfly_to_the_zebra,left,right,training,7/1/2019,14:01,left,1,2818.402,1,Pre,PO,NonPred
yUEihKLeHQoFJwOIubQbSQHsV,3,4poup,George_will_send_the_fox_to_the_donkey,right,left,training,7/1/2019,14:01,right,1,5337.402,1,Pre,PO,NonPred
yUEihKLeHQoFJwOIubQbSQHsV,4,12poup,Winnie_the_pooh_will_show_the_owl_to_the_duck,right,left,training,7/1/2019,14:01,right,1,3637.402,1,Pre,PO,NonPred
yUEihKLeHQoFJwOIubQbSQHsV,5,9poup,Dora_the_explorer_will_bring_the_cow_to_the_hippo,right,left,training,7/1/2019,14:01,right,1,2478.402,1,Pre,PO,NonPred
yUEihKLeHQoFJwOIubQbSQHsV,6,11poup,Marshall_will_pass_the_goat_to_the_bee,left,right,training,7/1/2019,14:01,left,1,2403.402,1,Pre,PO,NonPred
yUEihKLeHQoFJwOIubQbSQHsV,7,1poup,The_boy_will_throw_the_dinosaur_to_the_bear,right,left,training,7/1/2019,14:01,right,1,3735.402,1,Pre,PO,NonPred
yUEihKLeHQoFJwOIubQbSQHsV,8,10poup,Boots_will_send_the_pig_to_the_caterpillar,left,right,training,7/1/2019,14:01,right,0,5222.402,1,Pre,PO,NonPred
yUEihKLeHQoFJwOIubQbSQHsV,9,6poup,Piglet_will_show_the_ant_to_the_fish,left,right,training,7/1/2019,14:01,left,1,2989.402,1,Pre,PO,NonPred
yUEihKLeHQoFJwOIubQbSQHsV,10,3poup,Rebecca_Rabbit_will_bring_the_frog_to_the_chicken,left,right,training,7/1/2019,14:01,right,0,2051.402,1,Pre,PO,NonPred
yUEihKLeHQoFJwOIubQbSQHsV,11,5poup,The_girl_will_pass_the_bird_to_the_sheep,left,right,training,7/1/2019,14:01,left,1,2877.402,2,Pre,PO,NonPred
yUEihKLeHQoFJwOIubQbSQHsV,12,7poup,Bob_the_builder_will_throw_the_dog_to_the_penguin,right,left,training,7/1/2019,14:01,left,0,2451.402,1,Pre,PO,NonPred
