subject_id,trial_number,trial_id,target_sentence,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,sentence_type,animacy
yvo2IapdhkkRwYHvnlnNcEVge,1,5poup,The_girl_will_pass_the_bird_to_the_sheep,left,right,training,6/25/2019,9:42,left,1,2560.316999999999,1,Post,PO,NonPred
yvo2IapdhkkRwYHvnlnNcEVge,2,9poup,Dora_the_explorer_will_bring_the_cow_to_the_hippo,right,left,training,6/25/2019,9:42,right,1,2681.316999999999,1,Post,PO,NonPred
yvo2IapdhkkRwYHvnlnNcEVge,3,6poup,Piglet_will_show_the_ant_to_the_fish,right,left,training,6/25/2019,9:42,right,1,1565.316999999999,1,Post,PO,NonPred
yvo2IapdhkkRwYHvnlnNcEVge,4,7poup,Bob_the_builder_will_throw_the_dog_to_the_penguin,left,right,training,6/25/2019,9:42,left,1,1438.316999999999,1,Post,PO,NonPred
yvo2IapdhkkRwYHvnlnNcEVge,5,1poup,The_boy_will_throw_the_dinosaur_to_the_bear,right,left,training,6/25/2019,9:42,right,1,965.3169999999991,1,Post,PO,NonPred
yvo2IapdhkkRwYHvnlnNcEVge,6,8poup,Chase_will_give_the_deer_to_the_kitten,left,right,training,6/25/2019,9:42,left,1,1348.316999999999,1,Post,PO,NonPred
yvo2IapdhkkRwYHvnlnNcEVge,7,11poup,Marshall_will_pass_the_goat_to_the_bee,left,right,training,6/25/2019,9:42,left,1,746.3169999999991,1,Post,PO,NonPred
yvo2IapdhkkRwYHvnlnNcEVge,8,2poup,Tigger_will_give_the_butterfly_to_the_zebra,right,left,training,6/25/2019,9:42,right,1,1287.316999999999,1,Post,PO,NonPred
yvo2IapdhkkRwYHvnlnNcEVge,9,12poup,Winnie_the_pooh_will_show_the_owl_to_the_duck,left,right,training,6/25/2019,9:42,left,1,1149.316999999999,1,Post,PO,NonPred
yvo2IapdhkkRwYHvnlnNcEVge,10,10poup,Boots_will_send_the_pig_to_the_caterpillar,right,left,training,6/25/2019,9:42,right,1,998.3169999999991,1,Post,PO,NonPred
yvo2IapdhkkRwYHvnlnNcEVge,11,4poup,George_will_send_the_fox_to_the_donkey,right,left,training,6/25/2019,9:42,right,1,678.3169999999991,1,Post,PO,NonPred
yvo2IapdhkkRwYHvnlnNcEVge,12,3poup,Rebecca_Rabbit_will_bring_the_frog_to_the_chicken,left,right,training,6/25/2019,9:42,left,1,860.3169999999991,1,Post,PO,NonPred
