"","id","trial_id","accuracy_comb","Phase","verb","Age","Trog","et_order","Predictability"
"3","SE01","3Pre",0,"Pre","send","1659","5","pre","Pred"
"5","SE01","4Pre",0,"Pre","throw","1659","5","pre","Pred"
"6","SE01","5Pre",1,"Pre","send","1659","5","pre","Pred"
"7","SE01","1Pre",0,"Pre","bring","1659","5","pre","Pred"
"9","SE01","2Pre",0,"Pre","throw","1659","5","pre","Pred"
"10","SE01","6Pre",0,"Pre","bring","1659","5","pre","Pred"
"14","SE03","2Post",1,"Pre","bring","1584","11","post","Unpred"
"16","SE03","5Post",1,"Pre","bring","1584","11","post","Unpred"
"17","SE03","1Post",1,"Pre","send","1584","11","post","Unpred"
"18","SE03","3Post",1,"Pre","throw","1584","11","post","Unpred"
"19","SE03","6Post",1,"Pre","throw","1584","11","post","Unpred"
"20","SE03","4Post",0,"Pre","send","1584","11","post","Unpred"
"23","SE04","2Pre",0,"Pre","throw","1686","10","pre","Pred"
"24","SE04","6Pre",0,"Pre","bring","1686","10","pre","Pred"
"25","SE04","3Pre",0,"Pre","send","1686","10","pre","Pred"
"28","SE04","5Pre",0,"Pre","send","1686","10","pre","Pred"
"29","SE04","1Pre",0,"Pre","bring","1686","10","pre","Pred"
"30","SE04","4Pre",0,"Pre","throw","1686","10","pre","Pred"
"34","SE05","2Post",0,"Pre","bring","1643","1","post","Pred"
"36","SE05","5Post",1,"Pre","bring","1643","1","post","Pred"
"37","SE05","1Post",1,"Pre","send","1643","1","post","Pred"
"38","SE05","3Post",0,"Pre","throw","1643","1","post","Pred"
"39","SE05","6Post",1,"Pre","throw","1643","1","post","Pred"
"40","SE05","4Post",1,"Pre","send","1643","1","post","Pred"
"43","SE07","2Pre",0,"Pre","throw","1470","9","pre","Pred"
"44","SE07","5Pre",0,"Pre","send","1470","9","pre","Pred"
"45","SE07","4Pre",0,"Pre","throw","1470","9","pre","Pred"
"46","SE07","1Pre",0,"Pre","bring","1470","9","pre","Pred"
"47","SE07","6Pre",0,"Pre","bring","1470","9","pre","Pred"
"48","SE07","3Pre",0,"Pre","send","1470","9","pre","Pred"
"53","SE08","2Pre",1,"Pre","throw","1651","7","pre","Unpred"
"54","SE08","5Pre",0,"Pre","send","1651","7","pre","Unpred"
"55","SE08","4Pre",1,"Pre","throw","1651","7","pre","Unpred"
"56","SE08","1Pre",0,"Pre","bring","1651","7","pre","Unpred"
"57","SE08","6Pre",0,"Pre","bring","1651","7","pre","Unpred"
"58","SE08","3Pre",0,"Pre","send","1651","7","pre","Unpred"
"63","SE12","5Post",0,"Pre","bring","1775","10","post","Unpred"
"64","SE12","1Post",1,"Pre","send","1775","10","post","Unpred"
"66","SE12","4Post",0,"Pre","send","1775","10","post","Unpred"
"67","SE12","3Post",0,"Pre","throw","1775","10","post","Unpred"
"68","SE12","2Post",1,"Pre","bring","1775","10","post","Unpred"
"69","SE12","6Post",1,"Pre","throw","1775","10","post","Unpred"
"73","SE17","5Pre",0,"Pre","send","1569","7","pre","Unpred"
"74","SE17","1Pre",0,"Pre","bring","1569","7","pre","Unpred"
"75","SE17","2Pre",0,"Pre","throw","1569","7","pre","Unpred"
