"","id","Phase","Predictability","TimeBin","SamplesInAOI","SamplesTotal","AOI","Elog","Weights","Prop","LogitAdjusted","ArcSin","Time","ot1","ot2","ot3","ot4","ot5","ot6","ot7"
"1","SE01","Post","Pred",0,3,30,"ThemeAOI",-2.06142303617716,3.10483870967742,0.1,-2.19722457733622,0.321750554396642,0,-0.430945803685667,0.481812055829716,-0.458578365873336,0.3875694570443,-0.29489613910929,0.202756327304059,-0.125744136217209
"2","SE01","Post","Pred",1,5,28,"ThemeAOI",-1.45225232891169,4.45689655172414,0.178571428571429,-1.52605630349505,0.436286926716168,0.1,-0.364646449272488,0.259437260831386,-0.0352752589133336,-0.208691246100777,0.385633412681379,-0.45230257629367,0.415922912103075
"3","SE01","Post","Pred",2,5,24,"ThemeAOI",-1.26566637333128,4.29,0.208333333333333,-1.33500106673234,0.473984870691447,0.2,-0.298347094859308,0.0741249316661101,0.211651553480001,-0.357756421887045,0.272211820716268,-0.0155966405618529,-0.261160898297281
"4","SE01","Post","Pred",3,3,28,"ThemeAOI",-1.98591548366901,3.07758620689655,0.107142857142857,-2.12026353620009,0.333473172251832,0.3,-0.232047740446129,-0.0741249316661101,0.314270488500608,-0.249345384951578,-0.0577419013640573,0.321857946140012,-0.310403357235485
"5","SE01","Post","Pred",4,2,24,"ThemeAOI",-2.19722457733622,2.25,0.0833333333333333,-2.39789527279837,0.292842771728575,0.4,-0.165748386032949,-0.185312329165275,0.304649963342426,-0.0352335870040276,-0.286647296057282,0.262307136722036,0.0835363142701706
"6","SE01","Post","Pred",5,6,23,"ThemeAOI",-0.990398704027877,4.73958333333333,0.260869565217391,-1.04145387482816,0.536061489866503,0.5,-0.0994490316197694,-0.259437260831385,0.214858395199395,0.170747383173363,-0.299020560635294,-0.0354469103678429,0.329748608961211
"7","SE01","Post","Pred",6,7,21,"ThemeAOI",-0.659245628884264,4.94318181818182,0.333333333333333,-0.693147180559945,0.615479708670387,0.6,-0.0331496772065898,-0.29649972666444,0.0769642012654549,0.292709799725765,-0.123732645780122,-0.283575282942741,0.175865924779315
"8","SE01","Post","Pred",7,8,26,"ThemeAOI",-0.777704568588008,5.82407407407407,0.307692307692308,-0.810930216216329,0.588002603547568,0.7,0.0331496772065898,-0.29649972666444,-0.0769642012654549,0.292709799725765,0.123732645780122,-0.283575282942741,-0.175865924779311
"9","SE01","Post","Pred",8,7,22,"ThemeAOI",-0.725937003382936,5.05434782608696,0.318181818181818,-0.762140052046897,0.599313896417285,0.8,0.0994490316197694,-0.259437260831385,-0.214858395199395,0.170747383173363,0.299020560635294,-0.0354469103678425,-0.329748608961212
"10","SE01","Post","Pred",9,6,16,"ThemeAOI",-0.479573080261886,4.01470588235294,0.375,-0.510825623765991,0.659058035826409,0.9,0.165748386032949,-0.185312329165275,-0.304649963342426,-0.0352335870040272,0.286647296057282,0.262307136722035,-0.0835363142701757
